1893,,,,,,,0.01,0.37,0.03,,,,,,,,,,0.12,,0.25,,,,,,,,0.4,0.01,,2.32,0.17,0.43875,0.4088888888888888,0.4118749999999999,0.4116035353535353,0.4116261574074074,0.4116244172494172,0.4116245415464165,0.4116245332599498,0.411624533777854,0.411624533747389,0.41162453374908153
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,0.25,0.05,,,0.11,,,,,,,,,0.02,,,,,,,,0.43,0.1075,0.172,0.16125,0.1627857142857143,0.16259375,0.1626150793650794,0.1626129464285714,0.1626131403318903,0.1626131241732804,0.1626131254162504,0.1626131253274668,0.16261312533338573
1897,,,,0.3,0.66,,0.06,0.27,,0.03,,,,,,,,,,,,,,,,,0.08,0.46,,,,1.86,0.2657142857142857,0.465,0.4428571428571428,0.4450714285714285,0.4448701298701298,0.4448869047619048,0.4448856143856143,0.4448857065553494,0.4448857004107004,0.444885700794741,0.4448857007721503,0.44488570077340545
1898,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,0.25,,0.25,0.08,,1.15,0.2875,0.4599999999999999,0.4312499999999999,0.4353571428571428,0.43484375,0.4349007936507936,0.4348950892857142,0.4348956078643578,0.4348955646494708,0.4348955679736929,0.4348955677362485,0.43489556775207816
1899,,,0.55,0.57,,,,,,,,,0.34,,,,,,,,,,,,,,,,,0.05,,1.51,0.3775,0.604,0.56625,0.5716428571428571,0.57096875,0.5710436507936508,0.5710361607142858,0.5710368416305917,0.5710367848875662,0.5710367892524142,0.5710367889406394,0.5710367889614243
1900,,,,0.12,,,,,,,,,,,,0.43,,,,,,,,1.1,,,,,,,,1.65,0.5499999999999999,0.825,0.7699999999999999,0.7791666666666667,0.7778571428571428,0.7780208333333333,0.7780026455026454,0.7780044642857142,0.7780042989417989,0.7780043127204586,0.7780043116605616,0.7780043117362686
1901,,0.07,,,,,0.51,0.43,,,,0.3,,,,,,,,,0.18,,,,,,,,,,,1.49,0.2979999999999999,0.4966666666666666,0.4682857142857143,0.4718333333333333,0.4714391534391534,0.4714785714285714,0.4714749879749879,0.4714752865961198,0.4714752636252636,0.4714752652660391,0.471475265156654,0.47147526516349064
1902,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,0.33,0.7,,,1.23,0.41,0.615,0.5740000000000001,0.5808333333333334,0.5798571428571428,0.5799791666666667,0.5799656084656085,0.5799669642857144,0.579966841029341,0.5799668513007056,0.5799668505106006,0.5799668505670367
1903,,,,,,0.2,,,,1.18,0.04,0.33,,0.18,,,,,,,,,,,,,,,,,,,0.3859999999999999,0.3859999999999999,0.3859999999999999,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386
1904,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,0.2,0.1,0.1333333333333333,0.125,0.1266666666666666,0.1263888888888888,0.1264285714285714,0.126423611111111,0.1264241622574955,0.1264241071428571,0.1264241121532787,0.1264241117357436,0.12642411176786172
1905,,,,,,,,,,,,0.01,1.22,0.1,,0.01,0.08,,,,,,,0.02,0.05,0.54,0.95,0.23,,0.22,,3.34,0.3118181818181819,0.5641666666666666,0.5447552447552447,0.5461417748917748,0.5460493395493395,0.5460551167582417,0.546054776922424,0.5460547958021915,0.5460547948085196,0.5460547948582033,0.5460547948558373,0.5460547948559449
1906,,,,,,,,,0.05,,,0.17,,0.04,0.2,,,,,,,,0.1,,,0.02,,,,,,0.49,0.0966666666666666,0.1528571428571428,0.1458333333333333,0.1466137566137566,0.1465357142857142,0.146542809042809,0.1465422178130511,0.1465422632922632,0.1465422600437481,0.1465422602603157,0.1465422602467803,0.1465422602475765
1907,0.28,0.47,,,0.07,0.03,,,,,,0.5,0.1,,,0.24,0.02,,,,,,,,,0.02,,,,,,1.73,0.1922222222222222,0.346,0.332020202020202,0.3331851851851852,0.3330955710955711,0.333101972101972,0.333101545368212,0.333101572039072,0.3331015704701979,0.3331015705573576,0.3331015705527703,0.33310157055299966
1908,,,,,,,,,,,,,,,0.46,0.2,0.03,0.21,,,,,,,,,,,,,,0.7,0.225,0.3199999999999999,0.3041666666666666,0.3064285714285714,0.3061458333333333,0.3061772486772487,0.3061741071428571,0.3061743927368928,0.3061743689373898,0.3061743707681207,0.3061743706373542,0.30617437064607195
1909,,0.17,,,,,,,,,0.1,,,,,,,,,0.28,,,,,,,,,0.3,,,0.85,0.2125,0.3399999999999999,0.31875,0.3217857142857143,0.32140625,0.3214484126984127,0.3214441964285714,0.3214445797258297,0.3214445477843915,0.3214445502414252,0.3214445500659228,0.321444550077623
1910,0.9,,,0.16,,,,,,,,,,,,0.09,0.12,0.26,,,0.07,,,,,,,,,,,0.76,0.2666666666666666,0.3371428571428571,0.3283333333333333,0.3293121693121693,0.3292142857142857,0.3292231842231842,0.329222442680776,0.3292224997224997,0.3292224956480908,0.3292224959197181,0.3292224959027414,0.32922249590374003
1911,,,,,,0.5,0.16,,,,,,,,0.14,0.1,,,,,,,,,,0.02,,,,,,0.92,0.184,0.3066666666666667,0.2891428571428571,0.2913333333333333,0.291089947089947,0.2911142857142857,0.2911120731120731,0.2911122574955908,0.2911122433122433,0.2911122443253395,0.2911122442577998,0.29111224426202104
1912,,0.21,0.03,,,0.56,0.04,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.97,0.2,0.3283333333333333,0.31,0.3122916666666666,0.312037037037037,0.3120624999999999,0.3120601851851851,0.3120603780864197,0.3120603632478632,0.3120603643077601,0.3120603642371004,0.31206036424151656
