1913,20,24,,23,25,22,25,30,27,28,33,33,35,31,28,26,32,,,S,X,15,22,"27
7",23,25,22,29,81,25,29,24-9
1911,15,,26,,$1,25,25,,25,15,,,14,,25,26,,55,,,,&t,39,38,25,25,22,39,22,22,32,187
1915,28,32,3,33,33,38,37,43,30,26,2,27,3,28,28,28,8,17,25,31,36,36,2,25,26,,20,,9,,9,26.2
1916,32,34,33,33,25,19,,19,"2,",,,3/,/2,21,20,27,,3,,2-1,25,25,21,1.8,,,7,,,10,S,194
1917,35,34,34,34,,19,15,30,32,2,34,28,,45,,45,3,,38,,33,,,,20,30,,8,,,,
1915,32,39,38,41,38,36,30,39,3,22,30,27,33,33,36,28,26,22,28,30,28,10,17,,19,18,,27,23,12,,26.4
1919,,,,,,,,,,,,,,,,20,29,30,33,34,"37
89",,37,39,,33,,34,32,30,,"16.6
169"
1920,39,37,36,33,23,LC,27,25,24,33,32,31,26,21,21,BE,95,31,30,27,25,21,22,36,81,12,27,35,35,36,86,27.7
1921,40,35,,31,34,35,36,29,,"41
41",43,52,36,31,,21,5,15,4,,,2,,12,19,2,22,30,31,23,20,6.2
1922,24,,29,26,126,,13,,30,,§.,-12,,-6.5,,,"L
-10",7,33,33,"L
32",33,3,39,3,,39,32,30,30,32,23.1
1923,17,28,32,35,32,32,28,,23,28,28,23,22,33,37,35,,33,31,25,23,25,31,28,,26,27,32,24,,-2,270
1924,33,33,32,34,33,27,27,8,19,34,44,41,52,39,3,,,5/6,,,8,,-9,,4,2,17,19,22,3/,32,174
1975,3,31,,35,35,34,33,"L
30",2,"34
3",3,3.,,32,32,33,35,30,28,31,32,,"39
5",35,27,26,25,27,,24,,311
1926,42,,34,31,30,29,30,28,29,32,28,14,,-2,,"26
20",27,25,12,28,28,2,,19,23,24,22,27,33,34,36,251
1927,37,35,31,31,25,15,3,25,12,2,,28,ID,,5,,,18,25,10,,,,24,22,25,29,26,-10,,,15.6
1928,,28,,,30,30,32,32,33,,2,,22,22,31,37,,32,31,30,,28,25,24,,21,17,,26,15,25,"25.8
25777"
1979,24,25,20,,28,25,30,33,ZE,35,32,31,32,42,35,32,30,30,,2,26,28,36,37,"38
32",32,32,32,35,32,"39X
3%",30.8
1930,,33,32,,,22,21,23,,25,30,30,32,27,,8,28,25,26,,18,22,"21
24","8T
84","20
32",2,26,,"12
14",,,"221
22.09"
1931,,ie,31,,30,,32,30,26,23,23,18,,,14,20,25,33,34,,31,28,2,33,22,,33,20,23,,,"24.9
24.87"
1932,39,38,35,37,30,,,-4,-8.,-8,-5,-2,2,6,10,14,20,,25,34,33,23,25,30,Jo,31,31,27,28,21,23,196
