1893,40,38,38.0,34,42,35,32,35,38,33,34,34.0,35,37,36,38,32,35,34.0,33,42,48.0,40,40.0,41.0,39,40,40.0,43,40.0,,37.5,37.53333333333333
1894,38,33,32.0,30,36,40,30,31,40,45,34,30.0,38,37,29,29,26,38,39.0,45,46,36.0,43,43.0,45.0,40,35,34.0,40,35.0,,36.6,36.56666666666667
1895,37,32,33.0,27,25,25,35,37,45,32,31,38.0,41,28,32,36,32,33,39.0,33,30,44.0,40,42.0,47.0,36,48,45.0,41,36.0,,36.0,36.0
1896,26,37,34.0,37,40,42,36,32,33,35,32,36.0,44,30,29,22,24,27,27.0,35,32,38.0,37,40.0,40.0,33,36,39.0,34,37.0,,34.1,34.13333333333333
1897,33,32,35.0,36,32,34,31,33,37,42,33,33.0,33,41,42,45,46,47,43.0,40,34,33.0,31,37.0,45.0,55,30,34.0,35,43.0,,37.5,37.5
1898,31,30,30.0,32,37,35,29,41,34,32,35,37.0,46,43,45,36,38,31,30.0,43,36,40.0,45,40.0,50.0,50,36,39.0,42,38.0,,37.7,37.7
1899,32,36,37.0,34,30,37,38,40,37,34,40,34.0,27,34,38,34,30,34,33.0,46,38,30.0,32,42.0,40.0,32,30,30.0,35,30.0,,34.6,34.8
1900,45,44,38.0,39,37,37,35,26,27,35,42,45.0,35,37,37,35,38,46,45.0,45,34,33.0,30,31.0,34.0,34,33,32.0,44,42.0,,37.2,37.166666666666664
1901,32,29,26.0,28,33,29,28,32,34,37,38,38.0,45,43,34,28,32,34,35.0,42,34,36.0,40,32.0,34.0,31,32,42.0,45,54.0,,33.23,35.233333333333334
1902,42,38,34.0,33,34,39,31,30,31,32,36,31.0,24,26,30,34,41,45,38.0,33,30,37.0,33,36.0,35.0,35,35,35.0,33,33.0,,34.3,34.13333333333333
1903,30,32,32.0,27,24,31,40,36,30,28,26,27.0,33,37,31,30,50,36,,37,42,40.0,32,34.0,46.0,39,34,43.0,32,41.0,,34.5,34.48275862068966
1904,34,32,38.0,32,43,30,37,34,40,42,41,41.0,47,47,42,34,41,44,,42,38,34.0,30,,42.0,50,48,40.0,39,28.0,,38.9,38.92857142857143
1905,35,34,,28,40,38,43,37,37,27,30,37.0,40,34,39,41,37,45,42.0,42,41,42.0,44,50.0,48.0,33,38,31.0,36,,,38.3,38.17857142857143
1906,32,32,31.0,33,54,57,40,34,34,30,34,28.0,38,46,45,45,36,44,45.0,44,55,49.0,46,40.0,37.0,31,43,44.0,43,50.0,,40.6,40.666666666666664
1907,38,39,33.0,35,32,32,42,46,33,33,41,,45,43,34,44,34,32,26.0,31,43,45.0,45,34.0,43.0,41,46,,25,32.0,,37.4,37.392857142857146
1908,25,30,35.0,28,39,30,26,30,40,37,49,49.0,36,38,41,41,42,47,46.0,42,40,40.0,38,36.0,32.0,50,34,37.0,35,42.0,,37.8,37.833333333333336
1909,33,35,29.0,25,27,33,27,33,40,32,29,28.0,34,33,35,31,32,26,25.0,35,28,35.0,37,37.0,43.0,37,38,34.0,36,29.0,,32.5,32.53333333333333
1910,29,32,29.0,36,40,36,36,38,44,44,46,46.0,47,30,31,38,41,52,51.0,46,38,48.0,52,52.0,56.0,47,35,44.0,38,45.0,,41.2,41.56666666666667
1911,43,32,35.0,32,33,28,30,36,41,39,29,25.0,21,25,34,46,30,34,32.0,30,45,43.0,47,47.0,42.0,28,42,38.0,35,30.0,,35.2,35.06666666666667
1912,36,36,39.0,41,32,30,41,35,39,39,33,38.0,32,31,33,35,37,33,31.0,35,34,38.0,38,41.0,36.0,33,40,41.0,36,41.0,,36.1,36.13333333333333
