1913,42,43,47,46,46,45,46,49,48,40,37,"3,6",28,27,42,48,48,36,83,31,26,30,38,41,48,45,44,39,45,39,,"40.4
35.5"
HILT,$3,53,50,54,50,46,50,5,50,49,51,43.,48,35,35,29,12,42,43,49,41,31,45,50,51,53,52,44,31,36,,"46.0
461"
1915,56,50,59,48,,42,+38,27,35,32,29,28,2.J,31,35,,,,,N,,45,977,,38,35,33,35,37,38,,"39,3"
1916,,5.5,59,47,38,34,40,47,49,35,77,21,25,35,42,41,47,38,28,32,34,35,32,40,38,36,40,37,39,,,
1917,62,65,55,54,2,,,50,,59,"7
6",25,50,42,9,48,,3,53,,6.2,"60
G",S,"PA
L",40,,875,,,,,479
1918,52,51,50,44,42,42,42,48,48,49,49,52,52,414,44,42,47,49,45,42,36,38,40,38,35,34,32,37,"BE
38",44,,"48.5
42.1"
1919,,,38,40,,40,39,30,41,37,25,30,,46,31,34,58,54,44,44,44,47,53,40,35,25,25,23,,28,,"39.5
39.4"
1920,45,43,43,32,46,46,43,43,34,,36,39,43,45,52,hs,51,53,49,46,43,43,42,45,43,41,39,40,56,42,,"43
43.7"
1921,57,,19,56,58,56,449,55,153,,52,55,48,45,40,34,38,29,20,8,25,43,40,,,,2½,D,,5,,
922,40,38,,33,43,,,63,55,40,42,41,34,39,46,49,46,38,34,33,,31,29,27,29,30,29,27,26,"4
24",,37.4
1923,49,47,49,53,55,58,60,,,53,57,43,53,,,52,35,4/6,43,41,,44,48,52,44,42,39,45,42,38,,47.1
1924,40,50,54,47,49,,TE,41,✓,38,36,22,30,33,39,39,33,39,,50,50,43,50,45,4,37,36,TF,84,47,,"41,3"
1925,+3,,39,38,,"L
45",,50,50,57,45,,2p,2+,43,,,52,52,87,,++,47,43,45,39,33,32,35,,,"43.
13.7"
1926,54,54,"99
1",89,,48,50,48,55,60,51,42,43,46,36,40,43,41,34,33,36,43,49,47,5,47,42,44,46,47,,46.6
1927,41,4L,53,53,53,48,47,43,40,39,35,45,46,46,45,51,56,47,53,44,38,40,44,50,51,40,45,48,40,38,,45.0
1928,46,45,49,,,46,+2,47,,50,53,,,47,44,43,38,38,38,50,57,5,50,"42
L",46,,37,33,32,36,,447
1929,52,50,49,,,41,47,51,05,42,38,43,,,54,56,,,41,30,31,36,35,41,45,48,52,57,50,h,,5.5
19.30,57,,63,63,53,55,60,,53,55,,,52,,31,37,34,32,20,36,34,33,34,33,27,30,22,27,3.3,35,,43.0
1931,,,,,,55,45,42,,36,38,40,44,,37,36,5,3.,"L
42",32,23,21,22,28,J,,,,2,22,,37.5
1932,"48
42","46
48","145
46","46
45","53
46","464
53","H
464",466,"42
44",42,"39
749",3,"Se
48","sa
84","43
BB",46,"50
3","57
AX",58,"816
19","46
BUR",53,"44
Falst","49
T","49
ABIST","BE
48",49,SS,49,58,,48.4
