1933,52,58,48,44,44,42,45,52,85,64,99,55,50,39,35,39,8h,55,48,47,52,62,63,60,52,19,47,35,36,38,,"4917
49.17"
1934,,48,"18
AZ",54,66,,55,,53,58,32,,58.,58,42,53,"48
48","48
48",42,"42
42",4B,"50
50",46,"45
46",42,,"35
35",34,"39.
39",37,,"49.0
48.96"
1933,,,28,,38,"49
49",,,"32
38",,,"44
44","49
49",,"42
42","46.
#6","144
44","-31.
4E","30
36",3.5,"to
40",,46,"36
38","4
43",,"43
43","4
47",47,47,,"403
40.26"
1936,12,,,27,45,,,45,46,,52,56,59,60,49,25,Aze,57,64,60,53,49,47,47,46,46,37,24,21,23,,"47.4.
46.93"
1937,,39,52,52,47,43,44,53,58,59,48,,,8H,44,57,46,39,43,45,,5,50,43,50,,FL,2/,39,,,46.5
1938,#3,48,ES,43,40,40,47,,34,34,25,31,35,42,44,47,44,7+,4-7,36,HE,30,31,38,36,38,41,44,45,42,,39.9
1939,59,60,46,49,57,57,57,LA,44,50,57,,60,,57,58,5-7,52,52,52,53,54,28,2,64,33,,44,50,33,,"34.0
53.96"
1940,51,45,43,43,38,4,47,40,35,27,28,26,32,40,44,48,43,36,38,34,31,31,27,35,38,36,44,51,48,44,,39.03
1941,51,46,52,55,55,52,55,55,59,61,57,48,52,47,42,42,34,36,36,36,36,37,35,49,51,49,49,52,55,51,,"4·2·8
35.4"
1942,48,50,,40,35,39,413,36,41,44,42,43,53,47,42,41,44,38,37,35,40,48,50,39,36,33,29,37,36,38,,40.
1943,44,50,48,,,42,,a,45,,52,,47,,50,,47,,51,56,54,,6E,39,40,38,35,41,97,,,46.2
1944,47,,51,55,,29,,,,44,44,,40,,35,36,,27,28,,38,43,44,40,,41,40,7,36,42,,42.2
1945,45,53,60,55,40,41,30,28,34,37,38,36,3,46,40,41,40,45,36,29,33,32,4,40,45,17,47,49,43,41,,TH
"194
944",36,37,41,47,49,41,36,35,39,34,Th,42,45,37,36,,52,51,25,34,37,"45
sti",44,40,47,,48,43,40,40,,41.2
1944,48,44,41,37,39,44,49,44,40,47,42,of,40,38,3.5,37,38,36,3.2,30,30,32,36,43,48,47,44,44,40,37,,40.1
1948,43,42,49,43,43,43,40,36,36,36,42,40,45,50,55,42,49,37,38,35,36,46,,47,41,39,33,42,44,37,,41.9
1949,60,63,62,63,64,65,63,57,46,944,titi,47,52,52,,52,56,55,55,47,40,36,977,25,55,55,62,,44,Sh,,527
1950,48,45,49,54,64,47,50,43,,36,34,38,34,28,37,31,45,29,25,40,47,47,37,56,48,54,57,49,47,39,,43.3
1951,39,40,42,40,44,48,53,,52,50,,50,41,,37,35,37,,40,43,41,36,3%,43,34,14,47,45,46,,,42.9
"11678
sl52",47,50,47,159,64,53,52,55,54,15,50,57,47,48,47,,39,41,45,S,31,,SE,31,34,,,22,34,37,,44.2
