1893,41,43,33,41,44,38,44,41,35,43,49,46,52,32,49,50,45,39,38,39,38,40,35.,36,35,39,44,38,40,40,44,41.4
1894,30,31,33,41,42,41,33,35,30,33,43,43,41,45,39,35,37,43,54,46,46,51,51,53,56,59,54,52,46,49,59,43.6
1895,43,47,43,36,35,46,42,37,34,33.,34,45,52,35,40,47,47,47,46,45,36,36,36,36,49,45,39,36,43,39,31,40.6
1896,39,36,37,33,36,38,38,33,32,36,42,35,34,33,34,35,30,33,32,40,44,45,45,38,45,41,46,43,47,48,46,38.4
1897,40,32,40,43,53,49,39,34,45,40,39,45,52,53,52,55,53,52,49,55,41,38,48,54,42,38,48,52,58,53,45,46.5
1898,35,34,45,38,40,37,33,38,40,46,39,36,34,44,46,52,48,42,39,36,44,40,37,34,43,59,45,45,39,43,33,40.8
1899,30,30,32,36,42,45,45,36,42,40,37,32,33,34,32,37,36,33,38,38,45,46,52,47,43,43,40,38,40,37,41,38.7
1900,42,46,51,50,50,43,43,54,47,54,44,37,41,43,46,38,37,39,41,40,40,39,38,42,42,37,37,40,37,38,40,42.5
1901,46,44,32,36,34,36,58,40,39,45,43,51,54,51,54,48,45,41,37,35,43,37,44,41,54,56,58,55,50,40,56,45.6
1902,33,36,37,36,39,40,53,47,43,53,46,44,45,56,45,38,45,35,37,40,42,46,46,42,41,46,53,53,45,36,37,43.1
1903,34,35,35,43,55,50,34,34,40,44,,50,54,56,51,39,,32,34,37,31,31,39,39,38,,40,44,50,55,,42.1
1904,43,44,37,32,35,41,36,34,37,42,37,37,47,42,40,34,39,44,43,43,42,51,52,37,35,32,37,44,30,58,50,41.8
1905,32,,39,39,45,,50,43,35,36,37,42,51,46,32,37,40,31,37,40,32,35,38,,36,50,49,49,,49,50,40.7
1906,43,43,55,38,29,39,44,54,41,61,52,42,42,44,40,34,35,52,47,38,37,43,44,40,46,45,42,37,43,41,41,42.9
1907,34,39,,35,39,35,37,39,39,40,40,42,43,46,54,57,49,50,47,42,39,39,45,40,44,45,43,46,61,56,57,44.1
1908,50,39,24,52,38,48,40,36,38,38,39,36,32,38,36,38,35,43,38,39,40,52,36,45,39,37,42,52,41,34,35,40.1
1909,39,40,44,42,31,32,36,35,44,34,32,39,39,38,39,41,36,39,40,39,40,42,42,45,56,52,47,41,41,40,50,40.4
1910,39,35,42,38,44,45,48,48,50,37,40,43,37,39,42,37,43,45,47,37,40,29,65,60,37,41,39,42,45,45,51,43.9
1911,40,43,43,48,55,34,36,40,32,35,36,46,35,38,39,44,38,40,38,34,34,40,34,35,34,34,34,25,37,46,48,38.5
1912,33,38,30,38,38,41,45,47,48,45,45,42,47,52,53,46,41,51,48,46,41,40,41,43,50,50,46,45,40,41,47,44.1
