1893,54,51,48,49,48,50,54,47,48,48,48,49,52,62,61,42,45,51,53,54,52,45,43,45,48,52,59,64,63,51,51,51.2
1894,50,53,68,71,60,53,55,52,52,53,61,68,61,19,67,68,65,51,50,45,51,47,54,50,53,47,45,46,58,60,40,55.3
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,72,72,53,60,63,68,63,58,62,65,49,59,61,6,75,75,70.,71,71,63,50,60,57,57,50,45,51,57,47,46,45,60.4
1897,54,59,79,68,73,83,86,70,65,69,63,51,47,49,42,49,64,66,61,60,49,52,56,46,48,52,57,60,56,62,44,59.8
1898,50,53,56,53,55,59,63,68,59,53,58,64,57,57,52,54,55,53,57,62,67,55,42,51,54,54,54,52,43,60,42,55.9
1899,53,57,63,84,80,69,82,62,55,49,45,42,44,43,46,52,49,45,53,56,51,49,47,42,49,51,60,59,62,62,57,55.4
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,76,81,70,70,64,68,64,60,59,59,66,68,75,20,73,72,76,70,69,70,75,77,75,74,71,66,49,57,45,50,57,67.0
1902,59,70,75,77,74,82,72,62,54,67,65,77,69,65,65,59,63,67,69,71,68,51,50,48,48,58,62,60,58,61,56,64
1903,,,57,51,54,58,,,,,55,65,65,60,,69,73,,,73,63,65,73,71,63,67,62,56.,54,53,61,62.2
1904,79,65,,,72,,58,57,65,67,60,59,,70,58,,52,46,55,65,68,69,65,,68,71,,70,69,,59,64
1905,59,58,63,71,63,59,51,46,50,54,70,50,51,45,43,42,40,34,40,49,50,55,53,59,56,50,52,48,51,51,54,52.2
1906,70,67,,57,65,,,,,,83,,,,,,51,48,46,54,54,58,55,57,62,63,69,61,67,54,49,59.5
1907,63,59,69,77,82,71,67,68,72,79,79,72,64,72,76,75,76,74,74,62,73,74,72,74,78,72,70,62,63,58,52,70.3
1908,53,51,55,62,60,63,74,73,79,78,60,57,60,52,48,48,50,48,45,42,41,43,53,57,58,59,63,60,54,61,56,57
1909,63,62,68,57,60,,67,49,60,71,77,67,66,63,64,68,66.,67,62,,51,57,64,59,54,55,62,56,47,45,43,60.6
1910,54,55,51,51,61,69,64,79,79,79,69,62,62,63,69,69,60,59,57,61,63,60,61,57,57,46,50,58,66,58,53,61.4
1911,56,56,58,54,55,67,76,80,49,49,57,62,59,77.,62,67,61,52,54,56,58,61,56,53,56,59,53,55,54,57,55,58.1
1912,56,68,59,47,53,56,65,43,54,52,61,62,67,6.9,69,61,55,44,46,44,40,46,43,46,55,53,39,46,38,38,44,52.3
