1893,3,17,37,15,24,29,34,29,34,37,40,38,30,32,37,45,46,40,39,44,36,40,41,37,38,29,28,24,,,,33.0
1894,29,23,30,29,35,38,36,35,35,20,26,28,33,36,30,29,32,29,19,19,20,22,25,31,35,40,43,40,,,,31
1895,35,39,42,42,43,46,43,35,35,28,26,29,34,34,36,45,43,39,49,48,45,50,49,51,50,52,55,48,,,,41.8
1896,40,36,30,38,39,36,41,43,35,33,35,42,42,43,41,43,50,51,51,53,50,50,49,56,59,45,44,38,30,,,42.9
1897,42,42,41,46,37,41,41,38,42,39,40,32,37,37,45,35,31,32,33,30,31,34,40,40,40,41,51,46,,,,38.8
1898,35,37,38,37,43,45,46,40,36,41,45,47,56,50,51,34,32,35,36,47,36,40,43,47,50,46,53,48,,,,42.7
1899,21,5,-2,-1,9,9,24,32,35,36,31,34,38,39,42,40,47,49,40,38,38,34,36,32,33,36,36,41,,,,30.4
1900,43,35,42,37,42,32,29,31,34,45,,45,32,24,12,21,36,56,,50,56,45,47,49,45,44,45,47,,,,39.4
1901,38,37,36,35,40,41,36,35,32,41,43,47,43,42,42,48,37,48,35,39,40,39,38,44,42,48,50,59,,,,41.3
1902,16,25,32,34,35.8,35,37,39.3,41,41,39,37,38.6,40,41,51,34,43,49.6,53,52,52,48,48,47,44,48,48,,,,41.7
1903,30,25,25,27,29,23,37,37,43,41,31,29,25,28,34,41,40,42,42,49,45,47,47,42,44,44,45,43,,,,37
1904,41,38,37,50,36,33,36,31,26,29,36,41,36,31,39,35,38,36,40,35,,44,40,37,39,41,40,40,33,,,37.1
1905,29,29,28,36,40,34,45,35,35,30,11,11,27,33,37,38,38,42,47,49,56,56,29,,58,57,62,,,,,39.0
1906,48,49,43,33,39,40,40,37,38,40,30,34,37,39,35,49,49,49,54,44,48,47,46,44,42,45,44,39,,,,42.1
1907,42,34,25,22,46,46,,45,46,49,42,36,34,37,34,31,40,,47,52,58,56,48,47,44,41,38,40,,,,41.5
1908,10,30,37,34,40,44,37,42,42,42,33,32,33,42,41,41,,40,40,41,42,47,43,41,40,51,51,42,,,,39.18
1909,51,34,46,42,35,38,38,34,35,36,38,34,36,39,44,48,42,45,39,40,54,37,40,45,41,45,42,40,,,,40.6
1910,,21,,45,35,35,33,33,37,34,35,34,39,33,35,,,,35,30,42,66,33,30,25,26,,,,Min,,35.0
1911,40,33,27,33,35,30,33,34,33,37,39,33,35,29,32,30,31,31,33,32,35,34,34,28,,32,30,30,,,,32.8
1912,42,46,32,34,42,45,45,43,43,49,46,45,44,45,47,47,44,40,42,39,34,34,36,35,32,38,36,32,33,,,40.2
