1893,81.0,78.0,70.0,68.0,65.0,63.0,73.0,81.0,71.0,69.0,62.0,70.0,71.0,74.0,79.0,83.0,90.0,82.0,85.0,92.0,83.0,74.0,77.0,79.0,86.0,82.0,79.0,81.0,86.0,93.0,98.0,78.2,78.2258064516129,78.225,78.22502443792766,78.22502371916507,78.22502373970114
1894,78.0,78.0,79.0,98.0,85.0,85.0,82.0,76.0,79.0,72.0,76.0,84.0,87.0,83.0,86.0,82.0,83.0,89.0,85.0,82.0,90.0,84.0,94.0,82.0,67.0,67.0,76.0,98.0,80.0,77.0,86.0,81.6,82.25806451612904,82.2375,82.23812316715544,82.23810483870969,82.23810536237956
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,74.0,82.0,89.0,94.0,98.0,82.0,90.0,91.0,95.0,92.0,94.0,71.0,85.0,94.0,98.0,95.0,83.0,87.0,90.0,91.0,78.0,82.0,77.0,82.0,76.0,82.0,84.0,83.0,85.0,86.0,86.0,86.4,86.3225806451613,86.325,86.32492668621701,86.32492884250475,86.32492878089653
1897,66.0,63.0,64.0,66.0,61.0,62.0,65.0,70.0,79.0,98.0,94.0,83.0,80.0,81.0,74.0,68.0,65.0,73.0,81.0,82.0,75.0,78.0,78.0,20.0,80.0,85.0,84.0,82.0,89.0,71.0,72.0,75.1,73.83870967741936,73.878125,73.87693059628543,73.87696572580646,73.87696472210587
1898,79.0,83.0,87.0,81.0,71.0,76.0,80.0,87.0,87.0,91.0,95.0,91.0,77.0,78.0,86.0,71.0,65.0,68.0,74.0,73.0,77.0,73.0,74.0,98.0,84.0,78.0,86.0,87.0,91.0,91.0,94.0,81.3,81.70967741935483,81.696875,81.69726295210167,81.69725154174573,81.6972518677559
1899,83.0,85.0,78.0,80.0,78.0,84.0,84.0,84.0,83.0,80.0,87.0,89.0,93.0,93.0,93.0,96.0,94.0,89.0,85.0,77.0,70.0,69.0,80.0,80.0,85.0,90.0,89.0,89.0,88.0,81.0,78.0,84.3,84.3225806451613,84.321875,84.32189638318671,84.32189575426946,84.32189577223853
1900,67.0,73.0,76.0,77.0,65.0,73.0,81.0,80.0,,90.0,89.0,73.0,75.0,,91.0,90.0,85.0,81.0,89.0,94.0,95.0,93.0,94.0,101.0,80.0,75.0,82.0,88.0,92.0,95.0,98.0,84.1,84.20689655172414,84.20333333333333,84.20344827586207,84.20344468390805,84.20344479275514
1901,76.0,72.0,61.0,65.0,80.0,86.0,83.0,76.0,88.0,78.0,79.0,70.0,72.0,74.0,84.0,80.0,84.0,82.0,75.0,89.0,90.0,87.0,90.0,86.0,83.0,77.0,76.0,83.0,89.0,95.0,86.0,80.5,80.51612903225806,80.515625,80.51564027370479,80.51563982447817,80.51563983731323
1902,61.0,51.0,53.0,50.0,51.0,61.0,,70.0,,81.0,81.0,73.0,78.0,84.0,80.0,71.0,82.0,89.0,,93.0,90.0,82.0,85.0,86.0,86.0,90.0,76.0,73.0,73.0,89.0,77.0,75.6,75.57142857142857,75.57241379310345,75.57238095238094,75.57238201175909,75.57238197865352
1903,66.0,64.0,71.0,66.0,69.0,69.0,67.0,76.0,74.0,84.0,89.0,86.0,,72.0,80.0,83.0,84.0,87.0,88.0,93.0,93.0,99.0,94.0,,79.0,79.0,78.0,84.0,82.0,70.0,76.0,79.4,79.37931034482759,79.38000000000001,79.37997775305895,79.37997844827586,79.37997842720868
1904,,,84.0,78.0,88.0,89.0,81.0,80.0,98.0,91.0,,,81.0,,61.0,66.0,65.0,78.0,82.0,90.0,97.0,90.0,82.0,85.0,90.0,94.0,93.0,73.0,70.0,80.0,87.0,82.3,82.8076923076923,82.78888888888889,82.78956043956045,82.78953728264074,82.78953805453806
1905,,,,,83.0,83.0,82.0,90.0,94.0,91.0,81.0,81.0,70.0,82.0,86.0,71.0,72.0,89.0,95.0,103.0,104.0,104.0,99.0,93.0,91.0,89.0,90.0,86.0,85.0,92.0,92.0,88.1,88.07407407407408,88.075,88.07496807151979,88.07496913580245,88.07496910147076
