1893,45,50,51,44,56,44,42,45,47,38,45,44,48,45,49,52,44,47,45,39,58,61,49,50,52,58,58,59,61,49.,,49.2
1894,55,45,45,50,56,59,47,50,58,54,49,49,45,44,42,45,48,52,67,73,59,72,56,62,70,60,50,46,52,44,,53.5
1895,60,48,55,36,40,54,62,67,60,50,55,71,63,50,58,61,61,55,54,57,70,76,76,74,74,74,57,55,63,70,,60.4
1896,49,48,49,61,60,55,49,46,59,41,47,50,51,43,40,45,47,42,52,61,62,62,56,61,59,56,47,52,47,51,,51.8
1897,43,40,46,50,52,47,47,55,67,55,53,60,66,67,71,75,78,81,42,51,48,53,52,65,76,68,52,54,63,75,,58.7
1898,51,42,51,55,64,52,48,67,56,55,55,68,69,66,59,61,56,52,62,48,52,55,73,60,75,55,61,63,60,69,,58.3
1899,45,49,48,47,52,53,64,70,61,50,52,44,44,56,72,45,49,47,50,49,48,49,53,69,59,44,46,57,52,44,,52.1
1900,75,70,53,53,61,65,63,50,50,60,65,66,54,54,56,63,66,66,60,65,57,53,42,62,60,52,48,72,78,75,,60.6
1901,45,43,40,40,42,42,44,52,56,62,60,57,56,56,53,56,60,56,61,54,53,68,59,56,54,51,56,64,63,66,,54.2
1902,66,70,62,53,65,65,69,55,43,49,55,58,48,53,59,65,63,63,61,52,55,56,55,58,55,56,54,60,61,52,,57.9
1903,43,47,50,47,44,45,51,50,38,40,49,48,59,53,57,62,61,51,56,68,67,64,60,69,78,63,56,55,59,54,,54.8
1904,55,62,51,48,54,45,52,61,71,70,76,82,81,75,57,64,64,58,,52,48,46,58,,70,79,69,59,48,58,,61.2
1905,52,50,,70,70,44,57,54,51,56,63,65,,59,59,54,60,58,50,58,65,69,74,80,69,68,52,55,56,,,60.7
1906,45,58,57,63,67,70,62,63,64,58,63,58,67,68,77,66,56,65,72,82,86,82,65,52,54,64,71,70,71,71,,65.6
1907,53,55,53,50,42,45,61,52,53,63,71,,72,79,59,59,59,47,54,66,67,67,,45,56,54,,52,59,65,,58.1
1908,44,55,45,48,46,41,47,59,57,64,68,69,66,64,64,55,57,67,80,55,70,55,53,46,50,58,51,54,65,72,,57.5
1909,57,49,49,44,47,50,54,65,59,42,51,58,54,51,53,55,50,61,59,54,53,49,53,59,61,55,50,44,45,54,,53.2
1910,40,40,48,52,56,60,48,56,57,39,67,57,36,50,60,65,78,85,51,71,56,78,83,86,88,75,65,66,68,71,,64.0
1911,60,45,40,41,43,35,55,61,52,33,57,40,45,52,60.,52,55,45,54,67,63,61,70,73,65,59,58,60,59,65,,64.2
1912,64,69,54,46,47,60,62,65,74,55,57,44,42,45,52,40,57,48,37,45,47,52,54,46,51,57,56,52,55,50,,53.5
