1913,,,,37.0,4.0,,,,,,,,,,34.0,,,,,,0.03,,,,,26.0,45.0,,,,,150,24.338333333333335
1914,,,,58.0,2.0,,,,,,,13.0,,23.0,,,,5.0,,,,12.0,,,,,,,,,,1.29,18.833333333333332
1915,3.0,13.0,,,,0.04,,,,,18.0,25.0,5.0,0.2,,,,,,,,10.0,,,,,,34.0,,,,651,12.026666666666666
1916,,,,4.0,,,,,,,23.0,,,,,,8.0,21.0,,3.0,17.0,,,,,,4.0,,,,,102,11.428571428571429
1917,15.0,,,,,9.0,90.0,,,51.0,14.0,,,9.0,19.0,,3.0,,,,,54.0,,,25.0,8.0,,,5.0,46.0,,"50
4,21",26.76923076923077
1918,,,,,,,,,7.0,,,22.0,,,,7.0,,,,,,,,,,,,,,,,977,12.0
19,,,,19.0,0.08,0.08,,,,49.0,,,48.0,,,,,38.0,5.0,,,,,,17.0,,,,,,,1.84,22.02
1920,1.55,3.55,,,,0.04,21.0,25.0,23.0,,,41.0,,0.23,,,,,15.0,,,,,,,,,0.07,,,,"7.00
2.26",13.044
1921,,,,,,,,,,105.0,,23.0,10.0,31.0,,,30.0,23.0,,0.33,,,,,,,46.0,,,,,2.39,33.54125
1922,0.05,,20.0,,,,,,,0.6,,,,1.4,0.3,4.7,1.7,,,,,,,,,,,0.0,,,,"101
42",3.59375
1923,39.0,,,,8.0,,3.0,,,,,13.0,,,,,0.08,,3.0,37.0,,,,,,,,,,,,1.22,14.725714285714286
1924,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,24,24.0
1925,,,,25.0,,,,,15.0,,5.0,,,2.0,25.0,,32.0,,,,,,,,,,,,,,,10T,17.333333333333332
1976,,6.0,10.0,2.0,,,,,,,,,,,,0.05,,,,,,,,,,,,,20.0,,,43,7.609999999999999
1927,,27.0,,,,0.19,,,,,,,,,,,,,63.0,,,4.0,,,,,,,,52.0,,"2.3
1.31",29.238
1928,12.0,66.0,,15.0,,,,,,,58.0,,,,,7.0,,,,,,,,,,,,21.0,,0.2,,,25.599999999999998
1929,,,,,70.0,,15.0,,,,,,,39.0,,2.0,,,,,,,,,,,,18.0,,,,34,28.8
1930,,,,,,,,97.0,,,,,,29.0,10.0,,,,,,,13.0,,12.0,,,12.0,15.0,,,,1.87,26.857142857142858
1931,183.0,,,,36.0,22.0,4.0,,,,,,36.0,,,,,,,3.0,10.0,,,,,,,3.0,,,,1.98,37.125
"1932
18-211",,14.0,,,,,,,,,,,,,,,25.0,,,0.02,21.0,,,,,,,60.0,,,,85,24.004
