1893,38.0,44.0,38.0,38.0,41.0,44.0,40.0,39.0,39.0,35.0,34.0,39.0,32.0,38.0,38.0,41.0,37.0,33.0,31.0,33.0,32.0,35.0,26.0,30.0,32.0,39.0,38.0,41.0,38.0,37.0,38.0,36.7,36.70967741935484,36.709375,36.709384164222875
1894,42.0,40.0,42.0,47.0,48.0,40.0,30.0,40.0,35.0,33.0,37.0,36.0,46.0,47.0,45.0,44.0,35.0,38.0,37.0,31.0,33.0,34.0,41.0,41.0,32.0,44.0,34.0,36.0,44.0,44.0,35.0,38.9,39.064516129032256,39.059375,39.05953079178886
1895,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42.0,42.0
1896,43.0,49.0,49.0,35.0,31.0,34.0,34.0,42.0,32.0,33.0,26.0,25.0,30.0,36.0,40.0,45.0,38.0,36.0,43.0,41.0,42.0,42.0,35.0,38.0,35.0,31.0,33.0,30.0,35.0,33.0,42.0,36.7,36.70967741935484,36.709375,36.709384164222875
1899,44.0,34.0,36.0,38.0,43.0,46.0,43.0,40.0,39.0,34.0,55.0,40.0,54.0,28.0,27.0,32.0,33.0,40.0,41.0,38.0,43.0,37.0,39.0,37.0,34.0,25.0,31.0,35.0,32.0,33.0,42.0,37.2,37.83870967741935,37.81875,37.81935483870968
1898,33.0,34.0,34.0,30.0,33.0,29.0,30.0,38.0,44.0,35.0,32.0,39.0,37.0,39.0,36.0,32.0,41.0,37.0,27.0,33.0,38.0,38.0,40.0,32.0,40.0,43.0,42.0,35.0,38.0,43.0,37.0,36.2,36.096774193548384,36.1,36.09990224828935
1899,39.0,34.0,36.0,43.0,48.0,44.0,31.0,46.0,41.0,31.0,31.0,22.0,23.0,24.0,30.0,36.0,36.0,35.0,40.0,39.0,38.0,39.0,30.0,39.0,37.0,42.0,41.0,42.0,43.0,41.0,39.0,36.84,36.774193548387096,36.776250000000005,36.77618768328446
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,44.0,42.0,38.0,35.0,42.0,33.0,34.0,40.0,39.0,35.0,43.0,47.0,41.0,38.0,58.0,29.0,57.0,50.0,48.0,47.0,46.0,48.0,38.0,40.0,38.0,41.0,43.0,41.96153846153846,42.0,41.99862637362638
1902,33.0,35.0,35.0,43.0,44.0,45.0,40.0,48.0,45.0,35.0,36.0,,40.0,45.0,46.0,45.0,43.0,38.0,42.0,45.0,42.0,42.0,37.0,33.0,33.0,47.0,33.0,47.0,32.0,40.0,38.0,40.5,40.23333333333333,40.24193548387097,40.24166666666667
1903,,,42.0,47.0,42.0,40.0,,,,,44.0,45.0,47.0,,44.0,,43.0,,,43.0,38.0,50.0,,41.0,41.0,42.0,40.0,48.0,38.0,33.0,38.0,42.3,42.3,42.3,42.3
1904,43.0,50.0,,,46.0,,,45.0,42.0,47.0,51.0,42.0,,50.0,45.0,,34.0,37.0,40.0,40.0,42.0,40.0,35.0,,40.0,40.0,,35.0,42.0,,37.0,42.0,41.95454545454545,41.95652173913044,41.9564393939394
1905,35.0,45.0,52.0,52.0,48.0,47.0,36.0,36.0,33.0,32.0,38.0,41.0,33.0,33.0,36.0,31.0,32.0,25.0,22.0,27.0,28.0,31.0,34.0,41.0,43.0,28.0,29.0,28.0,27.0,26.0,27.0,34.7,34.70967741935484,34.709375,34.709384164222875
1906,49.0,40.0,,41.0,39.0,,,,,,32.0,,,,,,43.0,32.0,31.0,25.0,26.0,27.0,29.0,45.0,50.0,51.0,47.0,49.0,35.0,32.0,30.0,37.8,37.65,37.65714285714286,37.65681818181818
1907,41.0,39.0,36.0,60.0,60.0,48.0,42.0,40.0,37.0,43.0,43.0,39.0,46.0,43.0,43.0,47.0,45.0,44.0,42.0,40.0,46.0,47.0,44.0,,46.0,42.0,44.0,44.0,44.0,49.0,37.0,43.9,44.03333333333333,44.02903225806452,44.02916666666667
1908,50.0,37.0,46.0,41.0,45.0,33.0,42.0,47.0,41.0,44.0,45.0,45.0,47.0,45.0,40.0,36.0,32.0,29.0,32.0,31.0,30.0,28.0,33.0,29.0,33.0,35.0,38.0,44.0,43.0,46.0,45.0,38.9,39.096774193548384,39.090625,39.09081133919844
1909,40.0,35.0,43.0,42.0,40.0,,33.0,30.0,44.0,43.0,42.0,44.0,,38.0,35.0,36.0,32.0,40.0,36.0,,37.0,37.0,43.0,39.0,35.0,34.0,34.0,34.0,,32.0,28.0,37.3,37.25925925925926,37.260714285714286,37.260664112388255
1910,52.0,38.0,42.0,,45.0,49.0,47.0,50.0,46.0,43.0,42.0,42.0,44.0,40.0,40.0,40.0,49.0,39.0,38.0,38.0,38.0,36.0,34.0,42.0,45.0,31.0,26.0,36.0,41.0,40.0,42.0,41.6,41.16666666666666,41.18064516129032,41.18020833333333
1911,44.0,42.0,34.0,42.0,40.0,31.0,40.0,50.0,46.0,40.0,42.0,41.0,46.0,41.0,36.0,40.0,40.0,30.0,26.0,,28.0,28.0,31.0,31.0,35.0,34.0,21.0,25.0,24.0,24.0,26.0,36.2,35.266666666666666,35.29677419354839,35.295833333333334
1912,44.0,36.0,42.0,36.0,38.0,32.0,29.0,34.0,31.0,31.0,38.0,36.0,41.0,45.0,47.0,43.0,36.0,29.0,37.0,30.0,27.0,36.0,33.0,32.0,41.0,36.0,29.0,29.0,31.0,31.0,28.0,35.1,35.096774193548384,35.096875,35.09687194525904
