1933,,,,,,,0.06,0.02,0.04,,0.13,0.02,,,,0.15,,,,,,,,,,,,,,0.28,,0.7,0.0999999999999999,0.175,0.1666666666666666,0.1674999999999999,0.1674242424242424,0.1674305555555555,0.1674300699300699,0.1674301046176045,0.1674301023051022,0.1674301024496336,0.1674301024411318,0.16743010244160414
1934,0.18,0.02,,,,,,,0.03,,,,,,,0.25,,,,,,,0.03,0.13,,,0.22,,,0.22,,0.88,0.135,0.2177777777777777,0.2094999999999999,0.2102525252525252,0.2101898148148147,0.2101946386946386,0.210194294131794,0.2101943171026503,0.2101943156669718,0.2101943157514235,0.2101943157467317,0.21019431574697872
1935,,,0.18,0.27,0.11,0.04,0.5,0.1,,,,1.08,,0.24,0.3,,0.02,,,0.41,0.01,0.21,,,,,,,,,,2.38,0.2669230769230769,0.4178571428571428,0.4077948717948718,0.4084237637362637,0.4083867700926524,0.4083888252950752,0.4083887171265267,0.408388722534954,0.4083887222774099,0.4083887222891165,0.4083887222886075,0.4083887222886287
1936,,,0.05,,,,,,,,,,,,,,,,,,,0.08,0.01,0.17,0.02,,0.02,0.05,,0.05,,0.43,0.05625,0.0977777777777777,0.093625,0.0940025252525252,0.0939710648148148,0.0939734848484848,0.0939733119889369,0.0939733235129068,0.0939733227926587,0.0939733228350262,0.0939733228326725,0.09397332283279637
1937,0.28,0.09,0.03,,0.3,0.12,,,0.21,0.11,0.18,,0.55,0.07,0.57,0.02,,,,0.06,0.46,0.02,,,0.01,,,0.53,0.02,,,3.13,0.2016666666666666,0.3557894736842105,0.3480833333333333,0.3484502923976608,0.3484336124401914,0.3484343376557335,0.3484343074384192,0.3484343086471118,0.3484343086006236,0.3484343086023454,0.3484343086022839,0.348434308602286
1938,,,,0.12,0.08,,,,0.01,,,0.12,,,,0.15,0.26,0.22,,,,,,,0.02,,,,,,,0.98,0.1225,0.2177777777777777,0.20825,0.2091161616161616,0.2090439814814814,0.2090495337995337,0.2090491372053871,0.2090491636449969,0.2090491619925213,0.2090491620897258,0.2090491620843255,0.20904916208460977
1939,,,,,,,,,,,,0.4,,,,,,,,,,,,,0.12,,,,,,,0.52,0.26,0.3466666666666667,0.325,0.3293333333333333,0.3286111111111111,0.3287142857142857,0.3287013888888889,0.3287028218694885,0.3287026785714285,0.3287026915985249,0.3287026905129336,0.3287026905964406
1940,0.4,0.07,,,0.26,,0.01,0.07,0.29,0.91,,,,,,,,,,,,,0.26,0.17,,0.31,,0.15,,,,2.16,0.2636363636363636,0.4216666666666667,0.4095104895104896,0.4103787878787879,0.4103209013209014,0.4103245192307693,0.4103243064125417,0.4103243182357766,0.4103243176135011,0.4103243176446148,0.4103243176431332,0.4103243176432006
1941,,0.44,0.33,0.03,0.01,,,,,0.32,0.82,,,,0.01,,,,,,,,,,,,0.01,,,,,2.06,0.24625,0.4477777777777777,0.4276249999999999,0.4294570707070706,0.4293043981481481,0.4293161421911421,0.4293153033309282,0.4293153592549425,0.4293153557596916,0.4293153559652946,0.4293153559538722,0.4293153559544734
1942,0.17,,,,,,,,,,,,,0.17,,,0.33,,,,,0.03,,,0.14,0.01,,,0.11,,,0.96,0.1371428571428571,0.24,0.2285714285714285,0.2297142857142857,0.2296103896103896,0.2296190476190476,0.2296183816183816,0.2296184291898577,0.229618426018426,0.2296184262166405,0.2296184262049808,0.22961842620562858
1943,0.19,,0.02,,,,,,0.06,,,,,,,,,,,0.01,0.3,0.01,,,,,,0.25,0.31,,,1.15,0.14375,0.2555555555555555,0.2443749999999999,0.2453914141414141,0.2453067129629629,0.2453132284382284,0.2453127630471379,0.2453127940732106,0.2453127921340811,0.2453127922481476,0.2453127922418105,0.24531279224214408
1944,,,,,0.11,,0.06,0.31,0.2,,,0.53,0.11,0.15,0.01,,,,0.15,0.2,0.06,,,0.4,0.0,,,,,,,2.35,0.1761538461538461,0.3314285714285714,0.3210769230769231,0.3217239010989011,0.3216858435681965,0.3216879578754579,0.3216878465961283,0.3216878521600948,0.321687851895144,0.3216878519071872,0.3216878519066636,0.3216878519066854
1945,,,0.01,,0.05,0.22,,0.5,0.02,,0.36,0.06,,,,,,,,,,,0.12,0.05,,,,,0.04,0.01,,1.24,0.1309090909090909,0.2233333333333333,0.2162237762237762,0.2167316017316017,0.2166977466977467,0.2166998626373626,0.2166997381703264,0.2166997450851617,0.216699744721223,0.21669974473942,0.2166997447385534,0.21669974473859285
1946,,,,,,,,0.12,,0.04,0.13,,0.02,,,,,,,,,,,,,,,,0.38,0.1,,0.79,0.1316666666666666,0.2257142857142857,0.2139583333333333,0.2152645502645502,0.2151339285714285,0.2151458032708032,0.215144813712522,0.2151448898323898,0.2151448843952564,0.2151448847577319,0.2151448847350772,0.21514488473640989
1947,0.12,,0.02,0.15,,0.19,0.03,,0.1,0.07,0.04,,,,,,,0.3,0.1,,,,,,,,,,0.06,,,1.18,0.1072727272727272,0.1966666666666666,0.1897902097902098,0.1902813852813853,0.1902486402486402,0.1902506868131868,0.190250566427037,0.1902505731151564,0.1902505727631502,0.1902505727807504,0.1902505727799123,0.19025057277995042
1948,,0.29,0.25,,0.1,0.2,0.09,,0.08,0.01,0.08,0.04,,,0.06,,0.45,0.05,,,,0.03,0.04,0.03,0.24,,,,0.53,0.03,,2.6,0.1444444444444444,0.2736842105263158,0.2672222222222222,0.2675299359509886,0.2675159489633174,0.2675165570932161,0.2675165317544704,0.2675165327680202,0.2675165327290374,0.2675165327304813,0.2675165327304297,0.2675165327304315
1949,,,,,,,,,,,,,,,,,,,0.02,0.13,,,,,,,,0.19,0.33,,,0.8,0.1674999999999999,0.294,0.2729166666666667,0.2759285714285714,0.2755520833333333,0.2755939153439153,0.2755897321428572,0.2755901124338624,0.2755900807429453,0.2755900831807082,0.2755900830065823,0.27559008301819066
1950,0.42,0.03,,0.1,,,0.11,,,,,,0.07,,,,,,,,,,,,,,0.35,0.3,,,,1.12,0.1971428571428571,0.3125,0.2996825396825396,0.3009642857142857,0.3008477633477633,0.3008574735449735,0.3008567266067266,0.3008567799594585,0.3008567764026096,0.3008567766249128,0.3008567766118361,0.30085677661256255
1957,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.17,,,,,0.43,0.215,0.2866666666666667,0.26875,0.2723333333333333,0.2717361111111111,0.2718214285714286,0.2718107638888889,0.2718119488536155,0.2718118303571429,0.2718118411295495,0.2718118402318489,0.27181184030090283
1952,,0.07,0.05,,,,,,,,,,,0.14,0.01,,,,1.1,,,,,,,,,0.57,0.77,,,0.94,0.3871428571428571,0.45625,0.4485714285714286,0.4493392857142857,0.4492694805194805,0.4492752976190475,0.4492748501498501,0.4492748821119356,0.4492748799811299,0.4492748801143053,0.4492748801064715,0.4492748801069067
