1933,,,,,,,,0.57,0.25,,,,,,,,,,,,,,,,,,,0.06,0.01,,,0.89,0.2224999999999999,0.356,0.33375,0.3369285714285714,0.3365312499999999,0.3365753968253968,0.3365709821428571,0.3365713834776334,0.3365713500330687,0.3365713526057275,0.3365713524219662,0.336571352434217
1934,0.02,0.02,,0.7,0.01,0.15,0.12,,,,,,,,,,,,,,,,,,,1.63,,0.03,,,,2.68,0.3349999999999999,0.5955555555555556,0.5695,0.5718686868686869,0.5716712962962963,0.5716864801864802,0.5716853956228957,0.5716854679271346,0.5716854634081197,0.571685463673944,0.5716854636591759,0.5716854636599532
1935,,,,,,,,,,,0.05,0.12,0.27,0.1,,,,,,,,,,,,,,0.1,,0.0,,0.65,0.1066666666666666,0.1842857142857143,0.1745833333333333,0.1756613756613756,0.1755535714285714,0.1755633718133718,0.1755625551146384,0.1755626179376179,0.1755626134502622,0.1755626137494193,0.175562613730722,0.17556261373182183
1936,0.02,0.18,,,,0.15,0.08,0.03,0.48,,0.09,0.01,0.32,0.07,0.15,0.04,0.04,0.05,0.18,0.85,0.18,0.42,0.21,,,,,,,,,1.1,0.1868421052631579,0.2325,0.2303258145363408,0.2304246411483253,0.2304203443391086,0.230420523372826,0.2304205162114773,0.2304205164869138,0.2304205164767124,0.2304205164770768,0.2304205164770642,0.23042051647706466
1938,,,,,,,,,,,,,,,,0.05,0.75,0.41,0.14,,,0.01,,,0.15,,,,,,,1.12,0.2516666666666666,0.3757142857142858,0.3602083333333333,0.361931216931217,0.3617589285714286,0.3617745911495911,0.3617732859347443,0.3617733863358863,0.3617733791643762,0.3617733796424769,0.3617733796125956,0.3617733796143533
1939,,,,0.07,,0.01,,,0.06,,,,,,0.02,0.03,0.01,,0.06,,,,,,,,,,,,,0.26,0.0371428571428571,0.065,0.0619047619047619,0.0622142857142857,0.0621861471861471,0.062188492063492,0.0621883116883116,0.0621883245722531,0.0621883237133236,0.0621883237670067,0.0621883237638489,0.062188323764024375
1940,0.07,,,,,,0.21,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.1166666666666666,0.175,0.1633333333333333,0.1652777777777777,0.1649999999999999,0.1650347222222221,0.1650308641975308,0.1650312499999999,0.1650312149270482,0.1650312178497942,0.1650312176249675,0.16503121764102663
1941,,0.03,,,,0.02,0.52,0.27,,,,,,,0.43,,0.11,0.45,0.04,0.02,,,,,0.04,,,0.59,0.86,,,3.38,0.2816666666666667,0.52,0.5029761904761905,0.5041111111111111,0.5040401785714285,0.5040443510737628,0.5040441192680775,0.5040441314683767,0.5040441308583616,0.5040441308874102,0.5040441308860898,0.5040441308861471
1942,0.12,,,,,0.02,0.08,0.16,,0.01,,,,,0.09,0.09,,0.1,,,,0.04,,0.23,0.18,0.14,,,,,,1.26,0.1049999999999999,0.1938461538461538,0.1875,0.1879230769230769,0.1878966346153846,0.1878981900452488,0.1878981036324786,0.1878981081805191,0.1878981079531171,0.1878981079639458,0.1878981079634535,0.18789810796347498
1943,0.1,,,,,,,,,,,0.16,0.01,0.29,,,,0.56,0.28,,,0.15,0.19,,,,,,,,,1.74,0.2175,0.3866666666666666,0.3697499999999999,0.3712878787878788,0.3711597222222222,0.3711695804195803,0.3711688762626262,0.3711689232064231,0.3711689202724358,0.3711689204450233,0.3711689204354351,0.37116892043593974
1944,0.22,,,,,,,0.49,0.02,,,,,,,0.05,0.0,,,,,0.33,,,,,0.05,,,,,1.35,0.1657142857142857,0.31375,0.2973015873015873,0.2989464285714286,0.2987968975468976,0.2988093584656084,0.2988083999333999,0.2988084683999862,0.2988084638355471,0.2988084641208246,0.2988084641040436,0.29880846410497586
1945,,,0.04,0.03,0.4,0.32,0.09,,0.09,,,,,0.01,0.01,,,,,,,0.04,,,,,,,0.15,0.01,,1.19,0.1081818181818181,0.1983333333333333,0.1913986013986014,0.1918939393939394,0.1918609168609168,0.1918629807692307,0.1918628593628593,0.1918628661076577,0.1918628657526684,0.1918628657704178,0.1918628657695726,0.19186286576961106
1946,,,,,,0.38,,,,,,,,0.33,0.06,,,,,,,0.26,0.2,,0.05,,,0.01,0.32,,,1.61,0.20125,0.3577777777777778,0.342125,0.3435479797979798,0.3434293981481481,0.3434385198135198,0.3434378682659932,0.343437911702495,0.3434379089877136,0.3434379091474066,0.3434379091385348,0.34343790913900174
1947,0.03,0.4,0.46,0.25,,0.26,,0.3,0.11,,,,0.1,,,,0.11,,,,,,0.01,,,0.24,0.03,,,,,2.3,0.1916666666666666,0.3538461538461538,0.3422619047619047,0.3430341880341879,0.3429859203296703,0.3429887596064066,0.3429886018688101,0.3429886101707888,0.3429886097556899,0.3429886097754566,0.3429886097745581,0.34298860977459716
