1893,,0.04,0.45,,0.06,,,0.09,,,,,,,,,0.32,0.21,0.06,0.2,0.08,0.16,0.04,,,,,,0.03,,,1.74,0.145,0.2676923076923077,0.2589285714285714,0.2595128205128205,0.2594763049450549,0.2594784529196294,0.2594783335877086,0.259478339868336,0.2594783395543046,0.2594783395692585,0.2594783395685787,0.25947833956860833
1894,,,,0.37,0.09,,0.01,,,,,,0.04,0.58,0.24,0.02,,,,0.21,0.02,,,,,0.15,0.05,,,,0.04,1.82,0.1516666666666666,0.2799999999999999,0.2708333333333333,0.2714444444444444,0.2714062499999999,0.2714084967320261,0.2714083719135802,0.2714083784829721,0.2714083781545025,0.2714083781701439,0.2714083781694329,0.27140837816946384
1895,,,,0.27,0.15,,,,,,,,,,,,,,,0.18,0.25,0.02,,,,1.25,,,,,,2.12,0.3533333333333333,0.6057142857142858,0.5741666666666667,0.5776719576719578,0.5773214285714287,0.5773532948532949,0.577350639329806,0.5773508436008437,0.5773508290100552,0.5773508299827744,0.5773508299219794,0.5773508299255556
1896,0.09,0.05,0.51,0.44,0.03,0.18,,0.13,0.3,0.13,0.2,,0.13,0.02,,,,0.1,,0.05,,0.02,,,,,0.04,,,,,2.42,0.15125,0.2847058823529411,0.2772916666666666,0.2776818885448916,0.2776623774509804,0.2776633065506904,0.2776632643188854,0.2776632661550508,0.2776632660785439,0.2776632660816042,0.2776632660814865,0.2776632660814909
1897,0.1,,,,,0.36,,,0.08,,,,,,0.05,0.05,,,,,,,,0.38,0.33,,,,,,,1.27,0.1928571428571428,0.3275,0.3125396825396825,0.3140357142857143,0.3138997113997114,0.313911044973545,0.3139101731601731,0.3139102354325568,0.3139102312810646,0.3139102315405329,0.31391023152527,0.31391023152611797
1898,,,,,,0.02,,,,,,,,,0.21,0.05,,,,,,0.05,0.3,,,,0.75,0.5,0.04,0.02,,1.94,0.2155555555555555,0.388,0.3723232323232323,0.3736296296296296,0.3735291375291375,0.3735363155363155,0.3735358370025036,0.3735358669108669,0.3735358651515514,0.3735358652492911,0.3735358652441469,0.3735358652444042
1899,0.14,,,,,,0.38,,0.26,,0.07,,,,,0.47,,0.12,,,,,,0.15,0.1,,,,0.2,,0.05,1.94,0.194,0.3527272727272728,0.3395000000000001,0.3405174825174825,0.3404448051948052,0.3404496503496503,0.3404493475274725,0.3404493653405418,0.3404493643509268,0.3404493644030118,0.3404493644004076,0.34044936440053164
1900,,,,0.08,0.2,,,,,0.2,0.75,,,,,1.05,,,,,,,,0.1,,0.32,,,,,,2.7,0.3857142857142857,0.675,0.6428571428571429,0.6460714285714286,0.6457792207792209,0.6458035714285715,0.6458016983016984,0.645801832096475,0.6458018231768232,0.6458018237343015,0.6458018237015086,0.6458018237033305
1901,0.19,,,,,,,0.03,0.27,,,,,,,0.14,0.26,0.01,0.48,,,,,,,,,0.09,,,,1.47,0.18375,0.3266666666666666,0.3123749999999999,0.3136742424242423,0.3135659722222221,0.3135743006993006,0.3135737058080807,0.3135737454674954,0.3135737429887819,0.3135737431345887,0.3135737431264883,0.3135737431269146
1902,0.19,0.1,0.15,,,,,,,,,,,,0.05,,,0.25,0.35,0.35,0.3,0.5,,,,,,,0.1,0.08,,2.42,0.22,0.4033333333333333,0.3892307692307692,0.3902380952380952,0.3901709401709402,0.3901751373626373,0.3901748904690081,0.3901749041853208,0.3901749034634096,0.3901749034995052,0.3901749034977863,0.39017490349786443
1903,,,,,,,,,0.4,0.19,,,,,0.32,0.02,,1.4,,,,,,,,0.2,,,,,,2.27,0.4216666666666666,0.6857142857142857,0.6527083333333333,0.6563756613756614,0.6560089285714286,0.6560422679172679,0.6560394896384479,0.6560397033522034,0.6560396880869351,0.6560396891046196,0.6560396890410143,0.6560396890447558
1904,,0.02,,,,0.1,0.09,,,,,,0.02,,,,0.04,0.35,,,,,,0.09,,,,,,,,0.72,0.1014285714285714,0.17875,0.1701587301587301,0.1710178571428571,0.1709397546897546,0.1709462632275132,0.1709457625707625,0.170945798331959,0.1709457959478793,0.1709457960968842,0.1709457960881192,0.17094579608860616
1905,,0.05,0.03,0.03,,,,0.02,0.03,0.25,,,,,,,0.01,,,0.05,0.15,0.05,0.4,0.06,,,0.02,0.03,,0.25,0.1,1.53,0.095625,0.18,0.1753125,0.1755592105263158,0.175546875,0.175547462406015,0.1755474357057416,0.175547436866623,0.175547436818253,0.1755474368201878,0.1755474368201133,0.17554743682011614
1906,,,,,,,,,,,,,,,0.28,0.1,,,,,,0.02,0.1,,,0.25,,0.52,1.05,0.22,,2.5,0.3175,0.5599999999999999,0.53575,0.5379545454545454,0.5377708333333332,0.537784965034965,0.5377839556277055,0.5377840229215228,0.5377840187156593,0.537784018963063,0.5377840189493184,0.5377840189500417
1907,,,,,,,,,,0.15,,,,,,,,,0.7,0.05,,,,,,,,,,,,0.9,0.3,0.45,0.42,0.425,0.4242857142857143,0.424375,0.4243650793650794,0.4243660714285714,0.4243659812409813,0.4243659887566137,0.4243659881784882,0.42436598821978283
1908,,,,,,,0.04,,,0.18,,,,,0.17,0.1,,0.13,,,0.1,0.45,,,,,,,0.35,,,1.51,0.19,0.3366666666666666,0.3219999999999999,0.3233333333333333,0.3232222222222222,0.3232307692307692,0.3232301587301587,0.3232301994301994,0.3232301968864469,0.3232301970360793,0.3232301970277664,0.32323019702820394
1909,,,,,,0.01,,,,,0.26,0.03,,,,,0.03,,0.2,,,,,,,,0.93,0.15,,,,1.5,0.2299999999999999,0.38875,0.3711111111111111,0.372875,0.3727146464646464,0.3727280092592592,0.3727269813519813,0.3727270547739297,0.3727270498791332,0.372727050185058,0.3727270501670623,0.3727270501680622
1910,,,,,0.06,,,,,0.06,,,,,,,,,,,,,,,0.4,,,,,,,0.52,0.1733333333333333,0.26,0.2426666666666666,0.2455555555555555,0.2451428571428571,0.2451944444444444,0.2451887125220458,0.2451892857142857,0.2451892336059002,0.2451892379482657,0.2451892376142376,0.24518923763809677
1911,,0.19,0.13,0.04,0.12,0.04,,0.16,,,,0.1,,,,0.82,0.8,0.32,0.06,,,,,0.56,0.05,,0.23,,,,,2.39,0.2585714285714285,0.4006666666666666,0.3917857142857143,0.3923081232492997,0.3922791005291006,0.3922806280406899,0.3922805516651105,0.3922805553020428,0.3922805551367277,0.3922805551439153,0.3922805551436158,0.39228055514362786
1912,0.67,0.08,,,,,,,,,,,,,,,,,,0.98,0.08,,0.26,0.03,0.41,,,,0.34,,,2.85,0.35625,0.6333333333333333,0.605625,0.6081439393939394,0.6079340277777777,0.6079501748251748,0.6079490214646465,0.6079490983553484,0.6079490935496795,0.607949093832366,0.6079490938166612,0.6079490938174876
