11913,,,3.0,,,,,,,2.0,,4.0,81.0,,,,,10.0,,,4.5,3.0,,,,,,,,,,485.0,15.357142857142858,74.0625,67.53968253968254,68.19196428571429,68.13266594516595,68.13760747354497,68.13722735597736,68.1372545072322,68.13725269714854,68.13725281027877,68.13725280362405,68.13725280399376
1914,5.0,,21.0,9.0,0.03,,,,,,,,4.0,20.0,,,,,,41.0,,,0.63,0.64,,,,,,,,,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556,11.255555555555556
1915,,,,,,,,16.0,,,,5.0,32.0,,,,,,,,,,,,,,,,3.0,5.0,25.0,95.0,14.333333333333334,25.857142857142858,24.416666666666668,24.57671957671958,24.560714285714287,24.56216931216932,24.562048059964727,24.56205738705739,24.562056720836488,24.56205676525121,24.56205676247529,24.56205676263858
1916,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,59.0,37.0,48.0,44.333333333333336,45.25,45.06666666666667,45.09722222222223,45.09285714285715,45.09340277777778,45.09334215167549,45.09334821428572,45.09334766313933,45.093347709068205
1917.,6.0,6.0,18.0,,,21.0,,,,,,,,,,,,,,,,2.0,,,,56.0,87.0,,,,,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1918,,,97.0,17.0,36.0,,,,,,5.0,4.0,,4.0,,,,,,,,,,,,,,,,20.0,,,26.142857142857142,26.142857142857142,26.142857142857142,26.142857142857142,26.142857142857142,26.142857142857142,26.14285714285715,26.14285714285715,26.14285714285715,26.142857142857142,26.142857142857142,26.142857142857142
1919,,,,,,,,,,,,,,,,5.0,60.0,,-26.0,,,64.0,,,,14.0,,,,,,,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
920,,,,,,,,,,,,,,,,0.54,,,,,,,,,1.2,,,,,,,,0.87,0.87,0.87,0.87,0.8699999999999999,0.87,0.87,0.87,0.87,0.8699999999999999,0.8699999999999999,0.8699999999999998
1921,52.0,68.0,,,,,,2.0,,,,,,,,,0.09,,,,,,,1.0,,,,,2.0,,,,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333333,20.848333333333336,20.848333333333336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
1923,,,,2.25,,19.0,,,3.0,102.0,25.0,0.35,,4.0,,7.0,,2.0,,,,,,25.0,,,1.5,,,,,,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.37272727272727,17.372727272727275,17.372727272727275,17.372727272727275
1924,,1.0,,,,,,150.0,,,,,75.0,,,6.5,,,,,,,21.0,,,0.04,0.05,,21.0,24.0,23.0,,32.159000000000006,32.159,32.159,32.159,32.159,32.159,32.159,32.159,32.159,32.159,32.159,32.159
1925,7.75,,,2.75,0.54,40.0,75.0,,,,,0.0,,7.0,,,6.0,,,54.0,124.0,28.0,2.0,,50.0,,,,53.0,,53.0,,33.536,33.536,33.536,33.536,33.53600000000001,33.53600000000001,33.536000000000016,33.536000000000016,33.536000000000016,33.536,33.536,33.536
1926,,,5.0,,,,,,,,,,,,2.7,0.9,20.0,,0.7,5.7,,,0.9,,,,,0.08,0.7,8.0,,,4.468,4.468,4.468,4.468,4.468,4.468000000000001,4.468000000000001,4.468000000000001,4.468000000000001,4.468,4.468000000000001,4.468000000000001
1927,,25.0,4.0,,28.0,0.66,,,,,3.0,,,,7.0,,,3.0,,0.5,,,,,,,1.0,15.0,,,5.0,1.92,8.378181818181817,7.84,7.881398601398601,7.878441558441558,7.878638694638695,7.878626373626373,7.878627098391803,7.878627058127056,7.878627060246253,7.878627060140294,7.878627060145341,7.878627060145112
1928,,,,,15.0,35.0,,,,,35.0,70.0,,,,,,,,,,,,,,,,0.41,,,,,31.082,31.082,31.082,31.082,31.082,31.082,31.082,31.082,31.082,31.082,31.082,31.081999999999997
1929,,12.0,,,,,,,,,,,,,,,4.0,,,15.0,,,,15.0,,4.0,2.0,45.0,17.0,,25.0,,15.444444444444445,15.444444444444445,15.444444444444446,15.444444444444446,15.444444444444448,15.444444444444448,15.444444444444448,15.44444444444445,15.44444444444445,15.444444444444445,15.444444444444445,15.444444444444445
1930,26.0,,,,20.0,25.0,0.06,,4.0,,3.0,0.04,,,10.0,47.0,,,,,,,,,,0.04,0.04,,40.0,,,1.9,14.598333333333333,13.621538461538462,13.691309523809524,13.68665811965812,13.686948832417585,13.686931731667029,13.686932681708724,13.686932631706531,13.686932634206638,13.686932634087585,13.686932634092996,13.686932634092761
1931,3.0,,,,,,,,,,,,,9.0,15.0,,,,,,26.0,,27.0,,32.0,19.0,7.0,,,,,,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25
"1932
8-311",,,80.0,2.0,5.0,,,3.0,9.0,81.0,1.42,,,,,5.0,,0.7,,,,,,,0.2,,10.0,,10.0,0.1,,,15.955384615384617,15.955384615384617,15.955384615384617,15.955384615384617,15.955384615384617,15.955384615384611,15.955384615384611,15.955384615384611,15.955384615384611,15.955384615384611,15.955384615384617,15.955384615384615
