1913,46,60,34,18,10,14,32,32.0,24,25.0,25,32,32.0,36,40,32,32,24,8,34.0,31,24,36,54.0,48,34,34,35,33,32,32,31.7,31.70967741935484,31.709375,31.709384164222875,31.70938389468691,31.709383902387934
1914,40,41,42,41,49,51,47,38.0,35,38.0,40,42,44.0,40,38,42,52,31,39,36.0,45,43,33,35.0,42,38,32,36,40,37,40,40.6,40.2258064516129,40.2375,40.23714565004887,40.23715607210626,40.23715577433319
1915,38,35,39,33,29,32,35,38.0,34,31.0,40,35,35.0,35,30,23,24,31,2,20.0,20,19,26,16.0,15,23,29,34,40,35,37,30.1,29.451612903225808,29.471875,29.47126099706745,29.47127905597723,29.471278540008377
1916,17,27,24,15,25,29,34,31.0,29,,2,15,9.0,8,11,11,17,18,18,28.0,37,39,41,46.0,22,21,23,23,6,12,10,21.6,21.6,21.6,21.6,21.6,21.6
1917,30,30,34,40,40,35,33,41.0,42,33.0,30,30,28.0,25,21,20,18,22,23,22.0,22,30,31,33.0,42,36,34,30,29,17,14,29.5,29.516129032258064,29.515625,29.51564027370479,29.51563982447818,29.515639837313223
1918,59,53,47,45,42,42,42,41.0,33,21.0,28,33,33.0,35,39,36,41,41,35,29.0,29,40,41,41.0,35,33,36,44,35,15,20,37.0,36.903225806451616,36.90625,36.90615835777126,36.90616105313093,36.90616097612066
1919,15,25,30,32,34,36,34,35.0,36,40.0,38,36,38.0,37,41,42,49,49,53,35.0,38,51,51,38.0,40,38,41,46,45,40,41,38.9,38.83870967741935,38.840625,38.8405669599218,38.840568666982925,38.840568618209744
1920,29,30,32,31,25,21,24,21.0,20,26.0,36,38,40.0,31,36,15,47,49,49,41.0,28,24,18,43.0,43,33,42,53,50,46,50,35.8,34.54838709677419,34.5875,34.58631476050831,34.58634962049336,34.58634862449378
1921,41,44,38,45,42,31,31,33.0,29,25.0,25,32,37.0,43,46,30,40,35,34,30.0,31,32,34,34.0,35,40,42,39,36,35,35,35.8,35.61290322580645,35.61875,35.61857282502444,35.61857803605313,35.618577887166595
1922,36,27,23,22,29,30,26,3.4,37,30.0,27,29,23.0,18,24,22,13,8,15,25.0,30,30,22,9.0,32,35,30,30,25,28,15,26.0,24.30322580645161,24.35625,24.354643206256107,24.35469046489564,24.354689114648792
1923,37,42,41,38,44,48,48,43.0,46,45.0,39,35,33.0,38,41,45,18,35,35,34.0,35,37,42,3.0,28,28,32,30,30,25,19,37.1,35.29032258064516,35.346875,35.34516129032258,35.34521169354838,35.345210253456216
1924,2,12,12,15,26,30,31,30.0,49,42.0,34,34,30.0,33,35,32,32,30,18,26.0,33,35,46,38.0,37,36,39,45,42,44,48,31.6,32.12903225806452,32.1125,32.11300097751711,32.11298624288425,32.112986663873755
1925,36,46,36,40,36,35,36,34.0,32,35.0,34,35,32.0,32,25,34,33,44,36,43.0,43,43,43,40.0,35,38,39,37,41,48,47,37.6,37.67741935483871,37.675,37.67507331378299,37.67507115749525,37.67507121910348
1926,25,21,25,42,44,48,35,37.0,28,28.0,29,28,30.0,30,37,41,4,4,30,30.0,34,34,33,3.0,32,29,34,36,37,40,3,33.8,29.387096774193548,29.525,29.5208211143695,29.5209440227704,29.5209405111018
1927,40,43,41,39,35,37,38,38.0,38,28.0,28,29,35.0,38,37,33,35,33,25,10.0,7,16,25,29.0,32,35,40,35,36,35,34,32.5,32.38709677419355,32.390625,32.39051808406647,32.39052122865275,32.390521138807436
1928,7,11,29,35,38,36,36,38.0,42,42.0,48,42,40.0,30,25,26,24,24,26,27.0,34,32,27,30.0,34,36,40,38,36,44,41,32.8,32.83870967741935,32.8375,32.837536656891494,32.83753557874763,32.837535609551736
1929,36,36,31,29,27,25,27,23.0,28,31.0,30,35,32.0,31,30,22,30,31,14,13.0,17,18,8,19.0,31,23,12,11,11,14,18,24.1,23.967741935483872,23.971875,23.971749755620724,23.971753439278935,23.97175333403156
1930,41,38,44,49,39,29,20,18.0,15,14.0,10,9,,16,18,9,4,2,16,,8,12,15,15.0,23,20,21,28,30,33,36,20.8,21.79310344827586,21.76,21.761067853170186,21.761034482758618,21.76103549398321
1931,36,36,35,36,34,35,30,29.0,30,31.0,46,46,34.0,37,35,36,3,29,32,31.0,35,42,42,40.0,36,43,42,49,48,48,33,37.2,36.096774193548384,36.13125,36.13020527859237,36.1302360056926,36.13023512777545
1932,32,30,32,32,36,36,38,39.0,41,47.0,50,31,18.0,29,27,30,34,39,35,33.0,34,31,26,31.0,29,29,29,28,21,24,24,32.2,32.096774193548384,32.1,32.09990224828935,32.09990512333965,32.099905041195356
