1933,,,,,,,Trac,57,.25,,,,,,,,,,,,,,,,trace,,,06,01,,,89
1934,.02,.02,,.70,.01,15,12,,,,,,,,,,,,,,,,,,,,,03,,,,2.68
1935,,,,,,,,,,,05,12,27,OF,,,,,,,,,,,,,,,,00,,65
"1936
1937",02,.18,,,,15,08,03,.48,"78
:01",".09
12",.01,32,".07
23","15
10","04
.43",04,",05
30",".18
#",85,.18,42,21,,,,Trace,,,,,"1.10
3.47"
1938.,,,,,,,,,,,,,,,,.05,75,,,,,01,,,15,,,,,,,1.12
1939,,,,.07,T,10',,,.06,,,,,,.02,03,10°,T,06,T,,,,,,,,,,,,26
1940,,,,,,,21,07,,,,,,,,,,,,,,,,,,,,,,,,35
1941,T,03,,,,02,52,27,,,,,,,43,T,,45,04,02,,,,,04,,,59,86,T,,3.38
1942,0.12,,,T,,0.02,10.08,0.16,,0.01,,,,,0.09,0.09,,0.10,,T,,0.04,,0.23,0.18,0.14,,,,,,1.26
1943,0.10,TR,,,,,,,,,,0.16,0.01,0.29,TR,,TR.,0.56,0.28,,TR,0.15,0.19,,,,,,,,,1.74
1944.,0.22,,,,,,,0-49,0.02,,,,TR,TR.,,50'9,0.,,,TR.,,0.33,,,,,.05,,,,,1.35
1945,,,,03,40,32,09,,09,,,Te.,,10°,.01,,,,,,,04.,,,,,TR,,15,,,1.19
1946,,,,,IN.,38,,,,,,,,33,.06,,TN.,,,,,26,20,IN,05,IN.,,70°,32,,,777
1947,,40,46,25,,26,,30,T,,,,10,,,,,,,,,,",01",,,24,03,,,,,230
1948,tr.,,12,02,TA.,,,,T2.,,0.29,.02,Tr.,,17,,81,,04,07,,.03,,,,,,,,,,115
1949,,,,,,,,,,,,,,,,,,,,,,,,,I,,05,,24,05,,53
1950,,,,,997,,07,,,65,18,50,04,,,,,,,,34,,,,17,,,,,,,3.12
1951,,,,,96,19,21,20,,,,08,,,,,,,,,,,,,,,,,,,,1.65
4952,,,,,,,.02,,,1.51.,,,,,TE',Tr.,Tr.,,.04,,1.45,,,,27,13,,Tr.,,,,2.94
