1933,,.06,,.04,,,04,,,,,,,,24,10,.01,40,,,,,,,,05,,,,,,.85
1934,20,.04,,,,09,,70,.03,10°,80°,,,,,,,,,,,,,,,,,32,02,,,1.49
1935,,,,,,,,,,,,,,.08,25,,,,,,,,,,,,,,,,,33
1936,10,27,,32,81,,,,,,,,,21,80,,,,,,,,,,,,,,,,01,1.17
1937,,,,,,,,,,.06,30,,01',,,,,,,,,02,,,070,,,.01,,.05,,
1938,,,,,03,,,,,,24,,,,,,,HE,,,,,,,,,.02,17,,,,18
1939,,,T,,,,,,,,,,,,,17,.03,T,34,,.03,.07,T,,,60%,,,03,,,24
1940,,,.08,03,.05,,,,,,,,,,03,,,,,,,,,,",05",,,,,08,.10,46
1941,31,,,10,41,02,02,91,T,,,09,28,05,,04,186,19,.02,,,,,T,,17,3/,,91',40,16,3.90
1942,0.05,,,0.08,0.02,,,T,0.05,0.30,,0.14,0.02,0.02,0.13,T,T,,,,,0.02,0.16,,T,08.0,0.06,T,,,0.07,1.93
1943,0.14,"To
0.01",,0.03,,0.24,,T,,T,0.28,0.02,210,0.03,T,0.05,0.06,,,0.10,T,0.01,,,,,,,,0.23,0.09,"1.46
1:3"
1944,,,,,,,,,0.03,,0.02,,,TR,0.01,,,,,,,,6.05,0.03,TR.,,,0.08,,0.04,Cool,80
1945,,,,01,,,,,,TR.,TR.,TR.,TH,,20,,18,,,,22,,TR,,144,TR,28,,,,03,170
1946,,,,,,,,,,,,,,,,,,,,,,,Tv.,TN,14,TN,72,to,IN,,,193
1947,,Tr,,,,,,02,"10
10",Tr,,Tr,,,,,,,Tr,,,,T,,,,,,,,05,17
1948,01,,.03,40,02,,15,85°,,02,,,3/,,,,.63,,,51,,.56,.33,,,,07,,.83,08,,5.43
1949,04,56,,,,,,,,,,,,,,,,02,,,03,,,,,,,07,Tr,,OA,
2967,15,7.9,,,15,,,,,,23,,,,,,,,25,,,,,,,,,,,,,
1951,,,,,13,,16,09,,,,,,08,,,,Tr.,,,,,,06,,,,,,,,69
190252,19.,03,,Tr.,,Tr,,01,20,,Th,Tr,.06,08,,.01,,,,80°,.03,,,,,,,,,,,1.28
