1913,63,39,62,19,69,65,60,64,47,55,58,,55,49,44,48,58,50,47,49,,65,39,39,63,62,55,56,87,61,,584
194,3,63,99,63,55,89,51,51,43,45,52,56,58,19,19,,& F,46,50,X,55,52,47,44,x,,51,54,48,52,48,54.1
1915,58,65,60,49,55,53,57,55,54,56,65,56,53,19,60,+7 9,58,53,,,60.,62,65,59,62,68,68,58,62,69,,59.0
1916,49,,55,43,,51,,55,55,53,51,55,,S,,,,,,,45,52,55,,56,25,55,,79,60,62,52.6
1917,49,55,779,3,49,57,5,D,8,56,46,50,,56,55,09,,,J8,,9,47,,,57,60,DS,7,52,52,,551
1918,71,60,55,50,56,56,09,52,51,55,15,48,51,65,55,55,49,49,,47,44,52,55,58,,70,55,45,49,49,55,54.1
1919,31,50,52,44,46,57,59,34,55,56,30,34,53,44,44,57,58,57,60,54,53,57,30,59,,33,62,44,47,58,58,"22.5
52,2"
1920,151,53,58,50,55,60,64,62,63,56,60,59,60,60,61,61,51,48,46,19,32,55,65,56,53,42,15,45,46,,40,53.8
1921,5½,,59,53,50,3,59,6,61,49,52,55,,,,50,55,-5,50,53,,46,,51,,,,51,57,55,6,54.4
1922,120,68,57,63,58,57,56,58,,64,157,53,48,48,,57,,65,56,47,,15.,P,64,54,6,,6/,69,,53,"57,6"
1923,,42,,49,50,45,47,49,48,48,S,,58,59,50,64,68,89,,55,54,60,60,54,56,53,56,55,56,60,5-8,5/5
1924,52,49,48,42,42,44,45,52,48,51,50,54,59,5,52,69,,49,45,45,43,46,46,55,52,52,53,56,47,33,35,482
1925,67,79,59,52,54,29,55,53,58,58,57,55,60,,87,51,"So
5",19,67,,59,55,47,+3,SI,S,53,So,48,S6,58,553
1926,54,,58,57,49,,55,62,6,56,50,53,,55,52,54,5,55,55,52,47,52,"160
99",65,60,60,46,49,55,50,49,54.5
1927,60,60,,58,89,57,52,58,56,57,57,50,41,55,54,56,60,58,63,59,52,53,09,55,,52,54,53,51,47,44,54.7
1928,52,,51,,5,58,,,59,,,51,54,,45,,,152,"L
54",,49,53,,,52,32,,,,,62,52.
1929,70,64,59,"56°
L",48,52,,60,58,59°,65,63,,5,56,,58,,,46,55,,54,,51,,63,68,"64""",6T,64,57.2
1930,5-9,54,46,57,62,,64,20,22,64,,65,,67,64,58,,52,,50,49,,54,,5-4,47,46,,53,,,5664
1931,,62,64,57,45,48,44,46,53,77,3,5-4,52,,53,53,,20,,,58,62,54,63,55,5,49,46,,19,55,"33,09"
1932,54,52,56,,55,55,63,63,52,"L
50",,149,46,48,55,57,59,,57,,50,54,45,51,56,56,59,60,45,46,46,234
