1932,30,29,31,32,38,22,18,18,7,16,18,17,20,26,26,28,30,32,32,43,38,43,35,35,39,36,37,40,,,,29.21,29.142857142857142
1934,55,58,52,51,44,53,53,46,46,47,51,56,55,56,59,48,54,57,57,46,45,49,53,45,44,42,51,48,,,,50.8,50.75
1935,50,51,50,44,40,30,31,37,38,39,38,38,41,38,38,40,38,44,51,47,45,44,38,41,39,44,52,44,,,,41.78,41.785714285714285
1936,22,17,20,22,32,30,1,7,9,17,22,16,6,11,9,7,15,12,20,30,40,46,33,29,25,48,43,46,51.0,,,24.0,23.655172413793103
1934,37,34,36,40,34,31,26,19,36,34,39,34,36,30,34,38,38,29,28,36,41,40,44,45,41,39,38,42,,,,35.3,35.67857142857143
1938,39,40,42,39,42,33,35,35,38,42,42,31,39,41,32,26,32,35,33,36,36,42,38,40,46,42,43,29,,,,38.18,37.42857142857143
1939,31,29,35,37,39,33,31,25,14,27,40,38,37,42,38,8,42,45,36,35,36,40,40,43,35,36,33,34,,,,36.3,34.25
1940,43,37,42,45,44,47,43,44,49,42,43,43,37,39,40,40,42,41,45,46,43,35,41,47,49,49,49,52,50.0,,,43.69,43.689655172413794
1941,43,45,47,52,53,50,43,45,42,4,44,41,42,43,42,43,42,46,42,51,51,50,42,33,41,41,56,50,,,,45.21,43.714285714285715
1942,45,40,44,44,45,38,43,39,39,37,39,33,36,38,42,36,30,32,36,35,34,28,33,37,38,39,32,37,,,,37.5,37.464285714285715
1943,32,38,40,38,40,39,36,30,30,32,40,43,45,44,44,48,49,40,46,54,36,37,34,42,42,49,47,48,,,,40.8,40.82142857142857
1944,44,44,42,43,44,50,48,38,35,33,35,32,31,31,30,34,33,36,38,35,40,38,36,34,36,33,34,39,40.0,,,37.4,37.44827586206897
1945,41,45,45,46,46,46,50,50,43,44,47,36,37,32,36,39,38,29,33,37,37,42,36,39,41,39,40,38,,,,40.4,40.42857142857143
1946,88,45,33,28,37,38,35,33,3,34,32,34,35,40,43,41,41,40,48,43,40,43,48,52,41,42,48,42,,,,39.5,40.25
1947,48,42,35,46,44,44,44,41,41,35,46,49,50,50,50,41,40,45,40,43,48,48,54,47,44,35,31,38,,,,43.5,43.535714285714285
1948,28,27,28,35,27,22,35,38,32,26,21,29,38,43,42,49,57,43,36,39,45,40,39,40,46,46,37,40,38.0,,,36.8,36.758620689655174
1949,22,23,24,27,26,25,29,29,34,4,4,27,18,26,33,45,47,42,33,31,35,41,43,46,45,46,48,48,,,,34.8,32.17857142857143
1950,3,6,13,30,40,43,38,38,38,38,35,37,37,38,42,47,41,44,45,42,37,39,45,44,47,50,55,49,,,,37.4,37.892857142857146
1951,22,32,41,42,41,38,40,43,52,52,53,46,34,40,47,48,44,41,39,37,44,44,44,39,43,35,37,34,,,,41.0,41.142857142857146
1952,39,43,41,46,46,41,48,47,48,46,48,46,35,39,34,33,29,37,32,33,35,28,31,24,23,42,44,35,31.0,,,39.0,38.06896551724138
