1913,,,,,,,24.0,22.0,12.0,24.0,,,14.0,,,,,,,,,,,70.0,,,,,,,7.0,1.93,24.714285714285715,21.86625,22.18269841269841,22.151053571428573,22.153930375180376,22.1536906415344,22.153709082584083,22.15370776536625,22.153707853180773,22.153707847692363,22.153707848015213,22.153707847997275
,29.0,6.0,,,,,,,16.0,44.0,,3.0,,,,,,7.0,36.0,1.0,,,,,,,,,,,105.0,,27.444444444444443,27.444444444444443,27.444444444444446,27.444444444444446,27.444444444444446,27.44444444444445,27.44444444444445,27.44444444444445,27.44444444444445,27.444444444444446,27.444444444444446,27.444444444444446
1915,16.0,69.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,2.3,37.333333333333336,28.575,30.326666666666664,30.03472222222221,30.07642857142857,30.07121527777777,30.071794532627862,30.07173660714285,30.07174187309603,30.071741434266603,30.07174146802271,30.07174146561156
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,,15.0,,40.0,15.0,2.0,,30.0,,,,24.0,,13.0,2.0,,,,,,,,0.09,4.0,,50.0,5.0,,,,,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668,16.674166666666668
1919,,,,,,,,,,,,,,,,,,,,,0.05,17.0,,,,,,,7.0,,,,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667
1920,6.0,,,,,15.0,,,12.0,0.08,23.0,,,2.0,,,,0.05,,,,,,,,,30.0,,,,,,11.01625,11.01625,11.01625,11.01625,11.01625,11.01625,11.01625,11.01625,11.016250000000005,11.01625,11.01625,11.016250000000001
1921,,,,,,,,,,,,,,18.0,9.0,13.0,,,,,,,,5.0,,62.0,8.0,,,,,1.25,19.166666666666668,16.607142857142858,16.927083333333332,16.891534391534393,16.895089285714285,16.894766113516116,16.89479304453263,16.894790972915974,16.89479112088859,16.894791111023753,16.894791111640306,16.89479111160404
1922,,,12.0,,,,,,,,,,,,,,,,21.0,,,,5.0,,,,2.0,,,,,0.72,10.0,8.144,8.453333333333333,8.409142857142857,8.414666666666665,8.41405291005291,8.414114285714284,8.414108706108705,8.414109171075836,8.414109135309134,8.414109137863898,8.41410913769358
1923,,,,,,0.48,12.0,20.0,20.0,,,,,,23.0,0.17,,,,,31.0,,,,,,,,,,,158.0,15.235714285714286,33.08125,31.09841269841269,31.296696428571423,31.27867063492063,31.280172784391528,31.280057234432228,31.28006548800075,31.280064937762848,31.28006497215272,31.28006497012979,31.280064970242172
1924,,,,,,,,3.0,,,,,,,,,,,,,,,,,8.0,13.0,97.0,19.0,10.0,33.0,18.0,707.0,25.125,100.88888888888889,93.3125,94.00126262626264,93.94386574074076,93.94828088578087,93.94796551827802,93.9479865427782,93.94798522874696,93.9479853060429,93.94798530174867,93.9479853019747
1925,,,,,,,0.01,,,6.0,,,,,,,,,,,,,,,,,,25.0,,,,80.0,10.336666666666666,27.7525,24.26933333333333,24.84986111111111,24.76692857142857,24.77729513888889,24.776143298059964,24.776258482142858,24.77624801086259,24.77624888346928,24.77624881634569,24.776248821140236
1926,,36.0,,,,20.0,,,,0.13,0.05,25.0,0.3,,,67.0,,,,,,,,0.02,,89.0,,,,,,2.87,26.38888888888889,24.037,24.250808080808085,24.232990740740743,24.234361305361308,24.23426340788841,24.2342699343866,24.234269526480464,24.23426955047494,24.23426954914192,24.23426954921208,24.23426954920857
192;,,49.0,0.82,,,,,,6.0,0.051,,,,,,,,,,,,,,75.0,,,0.059,,,21.0,,220.0,21.70428571428572,46.49125,43.73714285714286,44.01255357142857,43.98751623376623,43.98960267857143,43.98944218281718,43.989453646799625,43.98945288253413,43.98945293030073,43.98945292749093,43.98945292764703
1928,,4.0,,21.0,,34.0,0.06,,17.0,,,,,,,,,,,,,,,,,,,,,,,136.0,15.212,35.343333333333334,32.46742857142857,32.82691666666666,32.78697354497354,32.79096785714285,32.79060473785473,32.79063499779541,32.79063267010766,32.790632836371074,32.79063282528685,32.790632825979614
1929,,,,,6.0,,,,17.0,,,,,,,,0.06,,,,,,,,,,73.0,,,,,97.0,24.015,38.612,36.17916666666667,36.52671428571429,36.48327083333333,36.488097883597874,36.487615178571424,36.48765906084656,36.487655403990296,36.48765568528693,36.48765566519432,36.48765566653382
1930,,,,,,4.0,32.0,,,,,,,29.0,,,,,,,,,,3.0,26.0,,,,,,,,18.8,18.8,18.8,18.8,18.8,18.8,18.800000000000004,18.800000000000004,18.800000000000004,18.8,18.8,18.8
1931,,,,,4.0,,,,,,,,,,,,4.0,,,,,24.0,10.0,19.0,,,15.0,30.0,,,,1.38,15.142857142857142,13.4225,13.613650793650791,13.594535714285712,13.596273448773443,13.596128637566132,13.596139776889771,13.5961389812238,13.596139034268196,13.596139030952925,13.59613903114794,13.596139031137106
"8-11
32",,,,,,,,,,,90.0,0.32,74.0,12.0,,0.02,,,,,0.16,2.0,,,,,,2.0,37.0,0.08,52.0,2.48,24.50727272727273,22.671666666666667,22.812867132867133,22.802781385281385,22.80345376845377,22.803411744505496,22.803414216502453,22.80341407916929,22.80341408639736,22.803414086035943,22.80341408605316,22.803414086052374
