1933,,,,,,,,,,,,,,,,,,37.0,0.84,,,40.0,,,,,0.06,39.0,99.0,23.0,0.48,3.46,29.9225
1934,,,,,,,2.0,,,,,21.0,14.0,,,,18.0,2.0,,0.62,,50.0,50.0,5.0,15.0,,,,,90.0,4.0,2.64,22.635
1935,,,,17.0,,,0.01,,,,0.25,,0.01,,,,,9.0,,,,,,,,,,1.0,0.01,,,,3.8971428571428572
9851,,,202.0,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,0.39,101.185
1937,16.0,,17.0,0.09,,,,,,,,,,,,12.0,2.0,,,34.0,,,,,10.0,,,,17.0,,18.0,1.14,14.01
1938,,0.05,38.0,,,,,,,,40.0,2.0,21.0,,3.0,4.0,,,,,,,,,,,,,23.0,10.0,710.0,847,85.10499999999999
1939,,15.0,,34.0,,,,,,,,,,,,,,9.0,,,,,,5.0,,,20.0,,,,,88°,16.6
1940,25.0,,1.14,0.35,,,,,,,0.05,,2.0,,,,,,,,19.0,,,0.35,25.0,5.0,70.0,,,28.0,0.04,3.78,14.660833333333331
1941,4.0,10.0,,37.0,20.0,,13.0,,70.0,,,7.0,10.0,,,,103.0,,,,,,,,5.0,2.0,2.0,,,,,1.25,23.583333333333332
1942,0.29,,,,,,,,,,0.17,,,,0.05,,,,,,,,,0.02,,990.0,,,0.65,,,,165.19666666666666
1943,,,,,4.0,,,,,0.03,4.2,,,,,4.0,,2.0,,,3.0,,,,,,,,,,,2.4%,2.8716666666666666
944,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,60,0.19
1945,,,,,,,,,,,,,,,,2.0,2.0,,6.0,28.0,,,,,,,,,,,21.0,99,11.8
gpbi,,50.0,,,,,,,,,,,,,,,,,,17.0,60.0,34.0,20.0,21.0,38.0,16.0,,,,0.42,,2.35,28.491111111111113
,,,,,,0.02,,27.0,,34.0,14.0,,,,2.0,97.0,,50.0,28.0,,0.87,,,,,3.0,,,19.0,87.0,202.0,4.21,43.37615384615385
1948,,,,0.39,,2.0,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,65,2.8475
1949,4.0,,,,63.0,17.0,0.16,3.0,,2.0,,,,,,,7.0,,,,,,,,,,,28.0,,,,"7
58",15.52
1950,,,,20.0,34.0,,,,,,,,,,,,0.07,20.0,0.02,2.0,,,,,,0.34,5.0,20.0,,0.42,5.0,3.45,9.713636363636365
1951,0.33,18.0,20.0,43.0,,,,,,,0.03,0.04,0.02,15.0,,0.03,0.05,,,34.0,,17.0,35.0,7.0,,,,,,,,2.84,13.535714285714286
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,.08,0.05
