1913,,,.04,,,,,,,02,,,,,01,,,,,,,,,,,,,,,,,.07
1914,,,,,TO,,,,,,,,.09,,.02,,,,,,,,,,,,,,,,,13
1915,,02,03,,,02,14,bo,,,,,02,15,,,,,,,,,,,,,,6,,,,77
1916,,05,,,,,02,,,,,,,,,05,,,,,,,,,,,,,,,,45
1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$167,,,,,,,,,24,06,,,,,,,,,,,,,,12,38,05,,,,,,99
1919,,,,,,,,,,,.04,,,,,,,,,,,,,,,,,,,,,04
1920,,,,,,,,,,,02,15,51,,,,,,,,02,,,,,,,,,,,70
1921,,,,,,,,,,,,,,,,,,,,,,,,,05,,,,,,,105
1922,,,,,,,,,,,,,,,,,,,,,,,,tr,,,,,,,,tr
1923,,.06,,,,16,,,,,,,,,29,,.18,,,,,,,,,,,,,,,69
1924,,,,,,,,,,,,,,,,,10,25,15,05,,,,,,,,,,,,55
1925,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,60
9267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00
1927,,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,63
1928,,,02,15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,64.
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00
1932,,02,-22,,,,,,,,,,+0.,,,,,,,,,,,,,,,,,03,,3/
