1933,33,36,38,29,28,30,29,32,36,35,37,32,27,29,31,31,32,35,27,30,36,42,44,44,34,39,40,29,25,27,,33.23
1934,44,38,38,39,40,45,47,46,43,41,33,34,36,41,45,38,40,38,39,38,37,38,34,36,36,32,31,26,31,30,,37.80
1935,9,4,6,15,20,32,32,36,30,20,29,34,33,30,32,33,38,27,25,27,24,25,27,33,32,34,35,33,34,32,,27.10
1936,14,8,18,29,32,32,17,24,27,19,29,32,36,34,28,35,37,38,40,34,37,26,27,25,23,23,19,15,17,18,,26.53
1930,34,30,34,34,34,31,34,42,41,42,37,38,36,40,40,39,35,32,35,34,36,38,42,36,38,32,32,38,30,30,,36.60
1938,36,37,37,35,30,28,30,33,30,22,17,14,24,30,33,38,34,35,35,28,24,19,19,19,20,22,26,29,36,35,,28.1
1939,34,39,41.,28,28,37,44,44,33,32,36,39,40,35,24,35,28,36,33,31,31,42,38,43,42,41,35,27,33,37,,36.18
1940,36,38,33,30,32,32,36,37,31,15,14,7,12,21,25,30,30,28,26,28,26,26,19,27,32,28,27,28,36,31,,27.43
1941,40,33,39,42,42,32,35,37,35,43,42,42,40,42,41,34,33,30,23,26,27,27,25,25,33,36,35,37,39,44,,35.4
1942,36,35,35,32,29,30,31,31,32,30,31,26,27,30,39,33,33,33,35,26,28,32,37,35,29,28,27,21,24,30,,30.7
1943,28,35,40,40,35,29,36,34,32,34,34,36,29,35,22,24,30,37,36,38,36,34,34,34,28,30,28,32,35,33,,32.5
1944,40,34,38,39,44,37,40,38,40,38,36,26,29.,25,24,24,18,22,24,24,26,30,37,32,30,32,33,28,29,32,,31.6
1945,39,35,43,43,36,25,27,12,10,15,30,29,32,35,39,32,35,34,32,24,23,25,31,31,31,32,32,39,34,29,,30.5
1946,32,24,26,30,34,35,34,32,26,29,31,31,31,26,26,25,28,38,34,24,19,24,36,33,33,34,40,38,32,30,,30.9
1947,44,36,33,31,30,31,33,40,29,30,32,23,33,31,32,31,31,34,29,28,20,22,25,31,34,38,37,31,28,32,,31.7
1948,32,34,37,31,32,30,29,19,22,24,29,32,34,36,38,32,32,27,30,31,31,32,33,34,33,27,23,35,28,28,,30.2
1949,39,43,41,44,44,42,41,37,34,32,37,40,41,41,35,40,38,38,38,30,30,31,32,41,25,43,40,40,36,32,,38.5
1950,36,37,38,44,35,38,40,31,23,24,27,29,28,28,27,48,33,37,16,25,36,41,46,39,43,45,38,32,29,30,,34.1
1951,21,24,29,31,29,33,33,35,37,38,38,37,37,32,27,24,25,26,23,35,30,32,31,38,29,33,32,34,36,36,,31.5
1952,34,28,33,37,37,27,26,19,27,36,36,39,33,37,34,35,29,30,32,28,21,15,17,18,20,15,17,17,14,18,,27.0
,33.7,35.7,34.5,35.4,34.2,35.0,35.0,35.5,34.6,34.4,31.2,30.7,34.1,31.9,31.6,32.0,32.3,31.6,30.6,29.7,30.4,29.4,30.3,29.9,30.6,29.6,27.9,27.5,30.5,29.2,,
