1913,38,35,26,36,38,36,30,40,34,38,28,25,"✓
23",24,24,35,35,25,"25
25",24,20,19,"L
29",31,37,,32,31,34,32,,"30
35"
1914,415,44,43,GIT,,31,31,3.4,42,35,L,36,45,30,25,25,28,25,23,31,2.4,26,31,36,20,31,38,35,30,23,,"33
34"
915,32,44,45,ht,34,30,25,33,28,ZZ,22,,-3,25,26,31,X,33,29,28,30,,31,30,Ja,38,20,27,33,28,,28
,,43.,42,35,"Ta
3",30,3,36,36,25,til,,7,9/,25,J,24,24,20,15,25,bl,27,30,29,29,3/,32,26,30,,26.
1917,48,42,,,45,39,,40,40,"2,7",43,,36,35,,37,34,34,35,,4x,,37,32,33,"L
2J",37,40,34,33,,37.
1918,37,36,46,40,37,36,37,35,40,43,38,35,35,40,37,37,33,39,31,31,33,26,27,22,38,21,19,27,27,37,,"33.
33"
1919,27,31,28,36,81,29,30,25,26,32,,,,31,98,,42,46,40,29,34,46,41,34,27,,7,12,24,25,,28
1920,20,33,33,IC,24,27,25,25,25,22,24,24,29,21,28,41,43,45,40,35,34,39,34,32,34,35,34,31,34,38,,30
1921,36,40,46,3,45,45,39,36,34,32,36,35,35,36,34,29,28,20,15,SI,,30,32,35,38,41,D½,35,34,,,37.3
,,,,,,30,,3,35,,35,27,25,22,20,35,34,30,29,27,,24,27,27,26,25,24,25,23,20,,"27
277"
1923,28,39,32,32,34,35,36,31,29,32,28,35,36,36,37,34,25,28,29,32,30,34,35,39,36,30,30,38,,25,,"32
32"
1924,3,42,44,41,43,38,34,35,37,34,31,16,12,28,33,3,25,29,28,41,35,37,34,33,38,32,27,27,30,23,,"32
32"
25,ba,29,32,30,,29,2,37,,,38,33,32,3.,32,40,37,39,36,5.,+,,29,TE,32,25,22,8,29,35,,3%
1926,33,35,34,37,44,42,35,6,,42,39,37,,,32,31,,29,27,26,26,29,32,35,39,39,28,36,43,38,,35
1927,34,3,36,49,48,44,39,33,34,34,30,36,34,42,35,46,49,41,43,36,54,31,35,"L
35",37,31,33,35,32,33,,36
928,25,28,38,37,33,30,29,29,42,39,38,39,36,J6,31,28,24,22,34,35,38,32,24,,30,30,"30
30",30,29,Se,,TE
,33,40,27,,35,32,24,32,3,26,26,25,29,"30
30",35,34,36,30,20,51,,,14,25,34,34,33,3,29,34,,29
30,"38
38",,,,32,35,,44,44,43,40,32,se,23,23,,28,23,L,2,29,31,30,25,4,22,23,24,,Pe,,30
1931,44,47,36,36.,34,36,"44""",,34,,,28,35,32,38,2,,2,30,"26""",,&,,15,27,25,13,,94,,,26.
1932,34,"✓
38",37,34,36,,"2
38",37,35,27,29,3,"137
V",36,33,33,43,41,42,36,37,32,32,33,135,,4-1,40,42,40,,36.7
