1893,20,22,30,39,40,12,42,,32,25,2,32,30,,28,26,19,20,26,33,27,20,23,30,33,33,32,3,29,24,,300
894,40,44,34,31,34,44,,"43
63",41,43,36,34,33,31,22,20,33,32,40,33,32,22,33,33,36,40,37,36,43,"33
35",,
1895,46,36,25,21,19,25,"J
30",32,36,39,,27,25,32,40,37,38,49,"J
35",38,32,14,12,14,18,23,34,34,34,30,,"29.9
29.8"
1896,32,33,32,33,28,30,28,"2
37",31,32,28,32,40,46,53,33,23,20,21,18,26,30,30,20,,-2,12,8,,,,4.4
897,36,,39,30,34,34,28,25,32,38,37,48,32,30,27,29,36,43,40,28,25,31,42,23,26,30,25,"L
3",19,24,,"32.1
31,2"
,33,29,38,37,31,36,36,27,23,26,21,22,25,19,23,,"L
25",29,22,25,23,28,8,25,,22,22,28,30,30,,273
899,38,39,39,38,34,36,,41,42,43,,40,38,,43,38,32,38,41,36,42,32,33,39,34,37,40,,36,32,,38.1
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19
1901",,28,39,35,39,31,38,28,35,30,26,36,-50-,35,32,39,42,33,36,28,33,32,2.9,32,32.,33,41,,42,36,,351
1902,32,,,29,26,29,37,,35,45,,31,34,33,33,37,35,30,12,22,,15,26,26,22,22,,25,26,30,,"28
29"
03,43,47,"3
38",45,32,42,31,27,30,29,30,29,26,32,30,18,19,22,27,32,35,,,32,,38,37,36,,,,32.1
1904,45,44,36,,32,43,,36,,40,x,,,x,X,33,49,35,,26,4.4,42,38,36,36,42,,39,35,37,,380
1905,30,31,"J
42",32,26,30,"L
32","J
34",34,35,98,38,38,33,36,35,38,35,36,30,21,25,26,25,28,32,19,76,22,"20
30",,"30, 2
30,5"
906,25,34,39,42,36,35,41,36,38,42,38,"44
44",44,47,32,35,28,21,20,28,"30
36",25,22,19,22,10,14,8,2/,23,,"30.0
299"
1907,36,37,27,38,37,34,37,34,31,27,30,30,32,35,36,35,27,2,34,34,31,39,37,33,40,33,30,82,,37,,"33.5
232"
908,44,45,44,43,2,39,38,29,26,28,24,29,30,,28,88,45,47,40,48,36,40,33,32,30,28,29,30,26,,,"Dila
34.6"
1909,32,,38,40,x,36,33,39,39,35.,34,32,80,97,13,18,,30,x,26,29,33,,,,28,26,30,31,,,"&
9.9
226"
191,41,40,25,32,34,"44
tifi",43,,,40,ng,,29,25,25,25,30,,,28,3 2,3/,,,26,,,3,30,36,,"32,2"
,24,25,3/,35,3/,32,33,3/,25,/7,,6,27,37,32,31,32,39,34,32,33,26,3/,3/,33,38,2.2.,22,29,34,,285
1912,32,35,31,31,36,,45,40,,34,33.,37,42,37,35,34,37,37,37,32,38,37,34,34,29,21,21,21,27,30,,"33.3
34.5"
